idlocalizacao,cep,numero_imovel,complemento,referencia,cidade,categoria
3522,47551-079,6172,Casa,Doloremque.,Gomes da Praia,disponível
19673,39574-236,8503,Apto,Reprehenderit modi.,Viana,reservado
1150,01262305,5879,Casa,Repudiandae voluptatum.,Pacheco Paulista,alugado
1628,63532-861,5964,Edifício,Placeat nam.,Camargo,alugado
36176,78320-350,3354,Casa,Quasi illum.,da Luz,alugado
55721,02834045,4013,Bloco,Facere non.,Carvalho,alugado
30773,15479-413,4982,Casa,Ullam.,Siqueira,disponível
11077,96869380,5148,Bloco,Nobis.,Ferreira,alugado
35956,01238-346,7753,Edifício,Occaecati ad.,Abreu Verde,reservado
35615,05300-034,4545,Edifício,Labore ipsa.,Vasconcelos,reservado
11882,82994196,4713,Edifício,Nihil.,Silveira de Fonseca,alugado
84782,37653-926,2309,Casa,Architecto.,Porto da Prata,disponível
63665,42345-654,7580,Casa,Ducimus quod.,Nunes,disponível
57334,29472-350,8289,Bloco,Iste.,Freitas de Minas,reservado
59291,61338794,5421,Bloco,Aspernatur qui.,Nogueira,alugado
47267,89204-527,9179,Bloco,Assumenda.,Caldeira da Serra,disponível
40418,74011027,7418,Apto,Illo porro.,Mendes do Norte,disponível
77775,12235602,9336,Casa,Cum.,Souza de Minas,disponível
85588,56634292,7801,Bloco,Iure quas.,Lopes Paulista,alugado
94601,68581-110,3870,Edifício,Officia velit.,Fonseca,reservado
46872,64246627,5932,Bloco,Excepturi aperiam.,Pereira,alugado
95539,91961-299,3595,Edifício,Odio.,Castro,reservado
20950,37429-206,3139,Apto,Nihil.,Azevedo,disponível
32823,03691-802,5726,Bloco,Quae.,Castro de Novais,reservado
69232,76756-689,7522,Apto,Labore.,Rios da Serra,disponível
82870,97244-048,3955,Casa,A dolorum.,Cardoso,disponível
20597,17303-645,2309,Bloco,Commodi.,Melo,alugado
66314,79735508,5828,Bloco,Explicabo.,das Neves Alegre,disponível
11437,40501481,6168,Edifício,Magnam nesciunt.,Gomes,disponível
81485,19124593,9056,Apto,Laudantium.,da Cruz,reservado
91893,10692788,8028,Apto,Id laudantium.,Mendes,disponível
568,50384093,8704,Casa,Tempora.,Ramos,reservado
85348,76848-273,209,Casa,Qui facilis.,Dias Grande,reservado
36750,27822-150,9446,Bloco,Quasi cumque.,Ferreira de Goiás,reservado
43246,01909-164,4359,Bloco,Illum consequatur.,Barros do Galho,reservado
85991,38900776,115,Apto,Voluptate dolores.,Pereira,disponível
75769,84059810,4543,Bloco,Cupiditate odio.,Siqueira da Serra,reservado
17493,81418-456,2845,Edifício,Ipsa.,Guerra Alegre,disponível
65611,33481644,6489,Edifício,Magni.,da Costa,alugado
21858,84501904,8295,Casa,Occaecati.,Vieira de Camargo,disponível
77322,37680-674,6152,Casa,Natus.,Freitas,alugado
40160,06485113,7753,Apto,Laboriosam tenetur.,da Rocha,reservado
67110,47655-357,1251,Edifício,Veritatis.,da Mata,reservado
41970,18668-931,9039,Apto,Autem.,Moura de Fogaça,alugado
42228,14997-177,9635,Bloco,Nemo incidunt.,Abreu,disponível
53673,99663-043,1939,Casa,Alias eum.,Abreu do Oeste,disponível
58272,08542-629,5148,Casa,Cupiditate.,Moura,reservado
91432,73803344,6828,Casa,Laudantium quibusdam.,Oliveira,alugado
74583,66180343,1470,Apto,Tempora.,Monteiro,disponível
95858,47282-533,1854,Casa,Neque ipsum.,Leão,reservado
67039,15561-535,2784,Edifício,Quos fugit.,Oliveira,reservado
84834,68631640,175,Apto,Consectetur blanditiis.,Cavalcanti das Pedras,alugado
9576,49827307,2752,Casa,Labore incidunt.,Pinto,alugado
54547,50075391,5368,Casa,Tempore qui.,Cavalcanti da Serra,reservado
55400,11663-171,1266,Apto,A numquam.,Araújo das Pedras,reservado
47775,91172-831,3234,Apto,Vitae.,Nogueira do Galho,disponível
36599,28046873,430,Bloco,Ut.,Dias,reservado
15646,79032217,7833,Edifício,Nesciunt fugiat.,Rodrigues do Sul,reservado
85782,89285-696,3415,Casa,Ad.,Nunes,reservado
27529,12358-800,2726,Casa,Soluta.,Câmara,disponível
19325,12448-896,4095,Bloco,Totam in.,Casa Grande,disponível
27463,13788994,2638,Apto,Ipsam vitae.,da Mota,reservado
90038,62374941,5219,Edifício,Tempore.,Cunha,reservado
6717,11827-561,487,Edifício,Quas odio.,Cunha,disponível
26944,81155-759,8081,Edifício,Numquam officia.,da Costa,alugado
97692,30571-711,693,Bloco,Quia consequatur.,Pires,reservado
23813,91038902,3137,Bloco,Reiciendis accusantium.,Rocha,alugado
32187,00320-848,4915,Edifício,Dignissimos autem.,Montenegro,disponível
48357,01784156,7633,Bloco,Vero voluptatem.,Silveira do Oeste,alugado
92072,82499-547,7368,Casa,Maxime.,Mendes,alugado
8237,08822-076,6084,Bloco,Autem unde.,Peixoto de Goiás,reservado
88745,78521-813,3574,Bloco,Minus.,Costa,disponível
73148,32699957,2634,Apto,Doloremque.,Melo de Goiás,disponível
32116,44684373,1310,Apto,Dolorem.,da Cunha,alugado
4861,25614-266,1051,Casa,Dolore sequi.,Barros,disponível
78051,85166-090,1891,Casa,Laudantium.,Moraes de Teixeira,alugado
57632,20865-610,1257,Casa,Doloremque.,Ramos do Sul,reservado
97821,43204-443,9873,Casa,Quis placeat.,da Costa,alugado
31772,68349583,1920,Bloco,Iusto a.,Lima de Goiás,reservado
5081,64824548,8166,Casa,Soluta in.,Câmara de Freitas,disponível
93395,62974-513,4046,Casa,Officiis perspiciatis.,Lima da Mata,disponível
77872,18925-389,5062,Edifício,Sed dolorem.,Camargo do Norte,reservado
15788,73418-301,7813,Bloco,Nihil explicabo.,da Mota Alegre,alugado
5914,07768-048,6235,Apto,Nemo.,Pereira de Oliveira,disponível
74915,58828-317,4294,Apto,Animi.,Sá,alugado
33790,87953340,8750,Casa,Voluptatibus repellendus.,Cunha de Moraes,reservado
46020,60817-773,8347,Apto,Excepturi sequi.,Viana,alugado
53397,07546634,6533,Bloco,Deserunt in.,Campos Verde,disponível
12372,84289874,4293,Apto,Consequatur quae.,Teixeira,alugado
19639,96544-225,1577,Edifício,In.,Nogueira,reservado
87744,53957-688,5838,Casa,Debitis cumque.,das Neves,alugado
64667,13403-613,4094,Bloco,Neque enim.,Novaes,disponível
29849,36108462,2036,Edifício,Ea hic.,Pinto dos Dourados,disponível
16881,09386-204,9523,Bloco,Voluptatum sapiente.,Farias da Serra,alugado
20752,34972732,6058,Apto,Quod.,Monteiro,disponível
38529,79677-680,544,Edifício,Perferendis.,Fernandes do Campo,disponível
24428,13227-686,2921,Bloco,Nobis.,da Conceição de Carvalho,alugado
38718,99050-677,3214,Edifício,Deserunt.,Rocha,reservado
86399,72826-536,4851,Casa,Facere.,Novaes da Praia,reservado
185,76097950,3475,Casa,Nostrum eos.,Moreira de Garcia,disponível
16291,86043-828,610,Apto,Magni repudiandae.,Santos,alugado
18842,58350-370,6308,Edifício,Animi.,Macedo do Campo,disponível
51293,59482-907,2971,Apto,Voluptatibus.,Vargas,reservado
91452,16903-656,37,Apto,Dicta illum.,Câmara,disponível
13453,80598950,6170,Bloco,Deleniti.,Ramos das Pedras,alugado
52089,52658-175,4480,Casa,Hic.,Pires do Amparo,reservado
59485,44296448,7594,Casa,Sapiente architecto.,Cavalcanti da Praia,disponível
46980,92240-245,4348,Edifício,Consectetur.,Macedo do Norte,alugado
37652,72789-207,3479,Edifício,Nemo.,Monteiro da Prata,disponível
85593,98850-013,136,Apto,Dicta nisi.,Lima,disponível
47212,95044141,9936,Edifício,Vel tempora.,da Costa do Galho,reservado
54773,17617-181,4287,Edifício,Minima.,Moraes de Viana,reservado
58436,89348879,667,Apto,Iusto.,Novaes de Melo,disponível
94576,70042575,19,Edifício,Voluptatem.,Nascimento da Mata,disponível
10965,15893-885,6221,Casa,Officia fugit.,Melo das Pedras,alugado
13249,63762-780,4804,Bloco,Eaque quis.,Araújo dos Dourados,alugado
8974,63217381,3501,Casa,Ullam quas.,Câmara,disponível
57031,08820582,4699,Bloco,Nisi.,Camargo de Sá,reservado
40033,12736-120,2856,Apto,Dolores.,Vasconcelos,reservado
53307,53815438,7754,Edifício,Harum.,Campos,reservado
92237,75973-567,8732,Bloco,Autem.,Rocha do Amparo,alugado
61200,63255967,9203,Edifício,Ullam.,Pimenta dos Dourados,reservado
86100,45969-339,4492,Casa,Numquam.,Fernandes do Campo,alugado
14584,74605-327,242,Edifício,Voluptatibus illum.,Borges,disponível
8150,49121738,7427,Bloco,Suscipit suscipit.,Leão,reservado
78827,97312-836,4328,Bloco,Excepturi.,Pereira da Praia,reservado
58420,71629-396,1226,Apto,Culpa.,Fogaça Verde,disponível
55938,20597415,9388,Bloco,Assumenda.,Gomes,alugado
40578,73408880,9828,Apto,Quibusdam dolor.,Barros,reservado
41557,79262898,7187,Apto,Culpa.,Oliveira,reservado
66038,64532937,6306,Casa,Dignissimos eveniet.,Nogueira,disponível
45282,80157532,8221,Apto,Praesentium.,Rios,disponível
2520,18177-325,5382,Casa,Saepe maiores.,Nogueira,disponível
15601,11412-619,8751,Edifício,Omnis reiciendis.,Cavalcante de Novaes,alugado
47565,93539-076,6853,Apto,Dicta.,Porto Paulista,reservado
29655,70274439,2612,Edifício,Ut ex.,Caldeira da Mata,disponível
42273,22044-323,343,Bloco,Reprehenderit totam.,Vasconcelos,disponível
58880,23450-778,7913,Bloco,Fugiat.,Camargo Paulista,reservado
46161,49598281,5392,Casa,Quia ipsum.,Marques das Pedras,reservado
55172,39146-996,5619,Apto,Culpa numquam.,Araújo,disponível
91689,34466-933,4773,Casa,Odio soluta.,Siqueira de Guerra,disponível
91264,64881-691,5643,Apto,Assumenda.,Ribeiro,alugado
8002,00881-727,5845,Casa,Tempora maiores.,Aragão do Norte,alugado
72512,74731208,2620,Edifício,Incidunt odio.,Farias,reservado
21950,02794-045,8170,Apto,Beatae at.,Lopes,alugado
12471,74846015,9849,Casa,Voluptas.,Barbosa,alugado
25786,47918-595,951,Edifício,Fuga ab.,Moura,alugado
67620,99717-316,3429,Edifício,Impedit quasi.,Nunes do Amparo,alugado
53491,43766-228,3457,Bloco,Iste doloremque.,Siqueira de Fernandes,reservado
60607,89394380,5392,Casa,Nisi.,Pereira do Norte,disponível
97983,32068796,3896,Bloco,Deserunt.,Melo de Novaes,reservado
41121,93852697,9840,Casa,Alias accusamus.,Brito,alugado
90880,83534-526,6693,Casa,Iure.,Montenegro,disponível
34586,39308810,9994,Bloco,Quas.,Barbosa,alugado
16678,83459-037,2051,Casa,Placeat.,da Conceição da Serra,alugado
92374,55810-253,4670,Edifício,Nobis assumenda.,Marques,disponível
24364,00532435,3297,Edifício,Saepe.,da Costa da Mata,disponível
22067,40302-094,1235,Apto,Assumenda eum.,Costela Grande,alugado
17303,20194064,5267,Edifício,Aliquam quia.,Ferreira de Silveira,alugado
86442,95423567,5576,Casa,Tempora velit.,Borges Grande,alugado
32189,74560-611,1351,Apto,Tempora.,Macedo Verde,alugado
41207,48607289,8368,Apto,Quam sed.,Moura do Oeste,alugado
68394,53001-673,5716,Casa,Quidem.,Vieira,disponível
69127,59787267,2820,Bloco,Cumque accusamus.,Costela,alugado
92019,67769645,314,Bloco,Recusandae.,Viana de Sampaio,alugado
38170,18157-334,2999,Bloco,Occaecati.,Alves,alugado
90545,58080075,8109,Edifício,Corrupti aspernatur.,da Luz,alugado
45007,81705919,4338,Apto,Est suscipit.,Almeida,alugado
63421,32990-265,4325,Casa,Qui.,da Paz do Amparo,reservado
91208,62062623,8653,Bloco,Repellendus.,Marques de Garcia,reservado
30948,47111-137,6693,Edifício,Natus omnis.,Mendonça de Cassiano,alugado
99144,77938304,7533,Bloco,Quod.,Melo,reservado
47654,67598-430,8508,Casa,Iusto animi.,da Cruz Grande,alugado
18129,10553126,275,Casa,Cum est.,Almeida,reservado
20178,33502-672,8382,Casa,Fugit ullam.,Nascimento de Farias,reservado
98753,32438311,1683,Casa,Illo soluta.,Silveira,alugado
32664,93324-369,9336,Casa,Optio adipisci.,Costela,alugado
71696,38551199,7093,Bloco,Rerum.,Pastor da Prata,alugado
13782,96581-133,3182,Casa,Repellat laboriosam.,Lima,reservado
5113,14078-570,7530,Apto,Quod reprehenderit.,Dias,reservado
69490,44731-355,4615,Apto,Doloremque enim.,Mendonça,disponível
32883,48792-172,742,Casa,Ea aperiam.,Aragão do Campo,alugado
66956,78731428,189,Apto,Fugiat.,da Cruz,reservado
26501,33287-517,4613,Bloco,Tenetur.,Rodrigues,alugado
19969,09300287,5259,Edifício,Et sequi.,Câmara,reservado
26334,46834806,1729,Edifício,A eligendi.,Barros de Souza,alugado
50751,55914208,4757,Apto,Cumque.,da Paz da Praia,disponível
3030,81595-733,503,Bloco,Iusto.,Porto,reservado
58564,14110239,6457,Bloco,Possimus omnis.,Moreira,disponível
23671,68433-865,9336,Bloco,Dolores.,Sousa de da Luz,alugado
48625,41810-484,2467,Bloco,Sit.,Moreira,alugado
44559,68067-688,7457,Apto,Magni eaque.,Carvalho Alegre,disponível
26459,84022-603,8874,Casa,Quia deleniti.,Cardoso das Flores,disponível
83926,38353-104,180,Bloco,Occaecati.,Barros,disponível
53993,85254115,2269,Apto,Officia perferendis.,Cunha do Amparo,reservado
36336,31012051,9924,Casa,Nisi.,Sampaio,alugado
17055,66372-751,5122,Apto,Velit.,Casa Grande da Serra,reservado
73245,65758-931,7792,Edifício,Fugiat libero.,Almeida,alugado
93368,85287045,5658,Apto,Et porro.,Carvalho Verde,disponível
23324,32219-570,8233,Casa,Maiores sapiente.,Barros da Serra,reservado
16246,44155330,7575,Edifício,Unde.,Alves do Campo,alugado
18548,87323435,511,Apto,Aspernatur doloribus.,Cirino do Norte,disponível
81779,23530081,7027,Casa,Hic.,Borges Grande,reservado
6126,33624-657,7614,Apto,Laudantium.,Farias,reservado
86641,58084665,7452,Casa,Saepe veniam.,Leão Grande,disponível
51708,88791-110,8592,Edifício,Laborum.,Martins de Martins,reservado
78704,60485956,3163,Casa,Facilis rem.,Albuquerque,disponível
30039,22205084,6526,Casa,Repellat.,Moreira Alegre,alugado
53674,08950413,7418,Edifício,Aliquam.,Aragão,disponível
33466,37394447,5879,Casa,Magni quis.,da Cunha de Borges,alugado
22604,73153-753,7772,Apto,Explicabo iusto.,Duarte de Abreu,disponível
32518,59416-672,3855,Casa,Minus.,Lima Verde,reservado
68016,16457564,4311,Bloco,Corporis.,Mendonça,disponível
25888,41903920,5113,Edifício,Hic expedita.,Pimenta do Norte,alugado
63669,81251-837,9096,Bloco,Debitis.,Monteiro das Flores,alugado
68379,67922-798,5192,Edifício,In.,Rezende do Campo,alugado
90323,63188650,7127,Bloco,Excepturi.,Vargas,disponível
98580,59102654,9955,Edifício,Explicabo.,Pinto,reservado
24309,60384-643,5497,Apto,Consequatur.,Costa,alugado
38776,04835-326,2041,Apto,Cumque vel.,da Rosa do Norte,disponível
80233,97845-526,5825,Edifício,Necessitatibus architecto.,Ribeiro de Cavalcante,reservado
1770,60318-473,6636,Apto,Optio dolor.,Rocha de Minas,reservado
66276,09957214,2156,Edifício,Rerum dolores.,Martins do Amparo,disponível
72632,39947-698,7019,Apto,Esse.,Souza,reservado
3193,54254551,3867,Apto,Accusamus minima.,Araújo,disponível
68730,50605606,2963,Edifício,Veritatis reprehenderit.,Cunha da Serra,alugado
27965,00724-972,2088,Apto,Quod.,Cardoso dos Dourados,alugado
2634,92648-539,8027,Apto,Dolores.,Lopes,reservado
852,93322-307,5103,Edifício,Iste.,Ribeiro de Leão,reservado
18608,21563-807,8603,Bloco,Excepturi eaque.,Costela Verde,alugado
98443,79717546,8293,Casa,Itaque debitis.,Garcia,disponível
73471,04789-253,1827,Edifício,Ex.,Cassiano,disponível
87983,34478-884,3704,Apto,Quisquam.,Dias Paulista,reservado
15806,99902131,4662,Casa,Repellendus.,Vasconcelos do Sul,reservado
46642,16954-890,5308,Casa,Consequuntur nam.,Barbosa do Campo,disponível
47699,87760-100,5053,Bloco,Repellendus.,Cassiano,reservado
41260,63297-829,1491,Casa,Laboriosam dolorum.,Aragão,disponível
39601,93683834,6470,Edifício,Totam officiis.,Melo,alugado
68112,77385-193,475,Edifício,Numquam reprehenderit.,Souza,alugado
39227,29269-475,831,Apto,Magni.,Silveira Grande,alugado
16625,12933550,2285,Edifício,Id rem.,Correia,alugado
73876,12028-595,8430,Bloco,Magnam atque.,Aparecida da Prata,alugado
88163,37131141,7323,Bloco,Placeat.,Carvalho,reservado
25466,22076-335,4101,Casa,Deserunt iste.,Aragão da Praia,alugado
70791,59698-481,9614,Apto,Minus iure.,Azevedo,disponível
80051,57848448,6723,Apto,Inventore occaecati.,Pacheco,reservado
10690,77604-848,5948,Edifício,Ullam.,Rocha de Brito,disponível
13903,52330-868,2729,Apto,Eum corporis.,Gonçalves,reservado
34986,69302704,5757,Edifício,Enim.,Nunes,alugado
83635,06057534,7996,Casa,Tempore nihil.,Ramos,reservado
94180,97674-782,9774,Casa,Fuga.,Garcia,alugado
99523,36628-871,4016,Apto,Ea.,Moreira,alugado
9521,46434044,1897,Bloco,Minima.,Mendes do Oeste,disponível
83711,03700-085,8964,Edifício,Voluptatibus.,Azevedo,reservado
4479,08587-749,5422,Casa,Unde officia.,Moraes da Praia,alugado
80575,15603430,1075,Edifício,Illo.,Brito,reservado
7965,46910052,1532,Bloco,Fugit ipsa.,Melo,reservado
4380,83032-494,6787,Apto,Fuga.,da Rocha,reservado
84153,02649011,3944,Casa,Et animi.,Cirino,reservado
17145,65709-933,3892,Apto,Placeat fugiat.,Mendonça,alugado
28232,39713-789,4946,Edifício,Fuga.,Cavalcanti,reservado
17213,63802-198,1504,Apto,Iure labore.,Moura do Amparo,alugado
46759,74467-730,896,Edifício,Eaque amet.,Teixeira,disponível
4323,53776991,5271,Casa,Fuga rerum.,da Costa de Minas,disponível
14875,43607-696,3217,Casa,Magnam quis.,Cardoso da Serra,reservado
89303,63107-670,8295,Casa,Ratione blanditiis.,Lopes,reservado
10180,13041444,8280,Bloco,Quam.,Lopes,disponível
76315,71072057,1799,Bloco,Ratione consectetur.,Monteiro das Flores,disponível
15042,59486-093,6074,Bloco,Facere.,Lopes de da Cruz,reservado
57664,98508801,5380,Bloco,Assumenda.,Farias da Praia,alugado
83759,11777-993,6540,Apto,Aspernatur.,Nascimento de Albuquerque,reservado
37142,38262527,3138,Bloco,Velit.,Abreu,alugado
60048,56732-014,9096,Edifício,Voluptatum.,Barbosa do Sul,reservado
69824,71491592,230,Bloco,Perferendis facilis.,Souza,disponível
97956,50453341,5666,Edifício,Dolorem.,Silva de Goiás,alugado
55759,12070435,2626,Apto,Repellat.,Caldeira,reservado
81892,20840-384,6729,Casa,Cumque.,Correia do Galho,disponível
37745,79092-478,9343,Casa,Quis dolorem.,Gomes das Pedras,disponível
34501,72741-127,6219,Bloco,Nihil.,Lima do Campo,disponível
27272,40310-826,7826,Bloco,Voluptatem mollitia.,Nascimento de Duarte,alugado
62729,20915743,6014,Bloco,Provident.,Fogaça do Oeste,alugado
49990,83584681,6568,Bloco,Placeat soluta.,Fernandes,alugado
77857,83529397,6916,Apto,Iure modi.,Mendes do Norte,reservado
598,32155-148,4364,Bloco,Quia temporibus.,Novaes,disponível
30424,76519143,8900,Apto,Excepturi.,Cunha das Flores,alugado
43828,28666395,3801,Apto,Consequuntur nam.,Moraes,alugado
17303,69596-725,3452,Edifício,Consequuntur eaque.,Duarte do Campo,disponível
85642,32140837,853,Casa,Suscipit eius.,Souza,disponível
82357,97421644,4470,Apto,Ullam.,Câmara,reservado
1203,50708032,5292,Edifício,Dolore exercitationem.,Freitas do Sul,alugado
48916,19953377,1225,Edifício,Accusantium.,Jesus do Amparo,alugado
90142,80956518,1762,Casa,Optio quam.,Guerra,disponível
97118,92980446,7654,Apto,Dicta.,Aparecida dos Dourados,disponível
4512,69894844,6615,Casa,Consequatur.,Barros,disponível
49363,02923-485,1530,Bloco,Nostrum rem.,Silveira,disponível
56968,73836872,6942,Edifício,Nobis fugiat.,Teixeira da Serra,reservado
90596,68323-658,7704,Bloco,Doloremque repellat.,Peixoto,reservado
50665,44010-942,6633,Edifício,Veniam.,Moraes,disponível
81878,60753080,6916,Casa,Quod.,Viana da Praia,reservado
15311,76558-249,370,Apto,Tempore.,Costa,reservado
43815,44468-486,9460,Apto,Et dolor.,da Conceição de Pacheco,reservado
48554,18422-866,215,Apto,Asperiores.,Nunes da Praia,disponível
30545,11944-859,8858,Edifício,Amet assumenda.,Dias Grande,alugado
57269,13672-605,7677,Bloco,Pariatur.,Barros,alugado
88955,72219846,4204,Edifício,Explicabo ipsam.,Pinto Grande,alugado
83577,95095826,6268,Edifício,Harum est.,Castro,alugado
952,93993-475,2576,Apto,Dolor vitae.,Gonçalves de Rodrigues,alugado
19813,80392412,6775,Casa,Illo.,Azevedo,disponível
84497,20349119,2852,Casa,Sed.,Gonçalves,disponível
96356,47140-610,747,Apto,Sapiente ea.,da Conceição,alugado
93158,07783-070,3594,Apto,Nostrum ipsum.,da Costa,disponível
34952,57664-946,9030,Apto,Harum.,Santos,reservado
7378,98931199,6178,Apto,Quia unde.,Sampaio da Serra,alugado
95435,65091-950,2353,Edifício,Iure quaerat.,Rocha,disponível
18176,36503763,2304,Apto,Sit.,Garcia da Serra,disponível
76818,31607-010,7338,Edifício,Recusandae illo.,Marques dos Dourados,disponível
14656,77499878,626,Apto,Impedit.,Siqueira,reservado
27247,00161-145,6626,Edifício,Tempore reiciendis.,Lopes de Novais,alugado
71450,69534-833,3273,Edifício,Autem.,das Neves,disponível
59310,08937-797,7821,Casa,Velit error.,Monteiro de Goiás,reservado
86571,23863-700,8644,Apto,Labore.,Brito,reservado
65573,89973-652,9883,Apto,Sit.,Aparecida,disponível
31146,45356467,7392,Edifício,Eaque distinctio.,Campos,alugado
43623,26283900,1311,Casa,Fugit.,Almeida das Flores,reservado
70927,79046-911,3226,Apto,Dolorem deleniti.,Nascimento das Pedras,alugado
54916,43876452,9397,Casa,Quas.,Lima,alugado
86987,72430679,9991,Casa,Cupiditate.,Cassiano dos Dourados,alugado
11536,33361722,7772,Edifício,Quaerat.,Cunha de Sousa,alugado
55673,89857141,4269,Apto,Totam maiores.,Melo,reservado
63046,29853496,763,Casa,Esse natus.,Araújo,reservado
96976,44569121,6078,Bloco,Ipsam inventore.,Montenegro da Prata,alugado
29992,31715-594,3625,Apto,Facilis repellendus.,Lima Paulista,alugado
26907,41164082,2952,Bloco,Libero voluptatem.,da Mata,reservado
44451,84129483,9259,Casa,Vel.,Silva de da Mota,reservado
80709,40171-741,5405,Bloco,Beatae.,Vasconcelos Paulista,reservado
35379,40216055,554,Apto,Soluta.,Costa das Flores,disponível
5456,75635-323,2457,Apto,Occaecati.,Novaes,disponível
94858,85215927,3336,Apto,Dolorem.,Novaes,reservado
13376,49348243,6380,Bloco,Repellat nesciunt.,Siqueira,reservado
39747,45215-117,6692,Bloco,Facilis.,da Rocha,alugado
17322,82172-081,2560,Apto,Repellat totam.,Moura,disponível
65726,15142-233,3595,Edifício,Consectetur.,Camargo,disponível
60982,01743-822,9558,Apto,Aut voluptates.,da Cunha do Sul,alugado
77081,47562-431,5047,Casa,Temporibus possimus.,das Neves do Galho,alugado
21927,82802501,5072,Casa,Pariatur.,Câmara,reservado
95230,25147-993,8160,Edifício,Accusantium.,Fonseca do Norte,reservado
14095,49883-267,8653,Apto,Suscipit corporis.,da Cunha de Freitas,reservado
83724,32620-176,9622,Apto,Aut ducimus.,Montenegro de Rocha,disponível
3045,41154-532,872,Bloco,Eligendi.,da Rocha do Campo,alugado
26567,49872174,3417,Casa,Pariatur aperiam.,Almeida,reservado
38829,45318-129,9965,Casa,Reprehenderit vel.,Sampaio do Oeste,disponível
41462,47811-135,4353,Bloco,Esse officia.,Farias de Pastor,disponível
8060,46790-830,2921,Edifício,Corrupti.,Borges das Pedras,reservado
77153,75439550,7063,Edifício,Occaecati cumque.,Almeida de Aragão,disponível
45465,40320833,8237,Edifício,Error.,Pinto,reservado
82715,21541-098,224,Apto,Voluptas accusantium.,Marques,alugado
13145,32177214,8970,Casa,Culpa cupiditate.,Moreira da Serra,alugado
11813,98562-393,8121,Casa,Animi.,Aragão Alegre,alugado
27165,81865-272,7905,Edifício,Molestias vitae.,Jesus da Praia,alugado
28265,31058-394,6746,Apto,Fugiat.,da Costa do Norte,reservado
43073,18149-505,4647,Casa,Sequi illum.,Camargo Grande,alugado
65181,71069975,6448,Apto,Rerum iure.,Pacheco,disponível
82450,01188-553,6505,Edifício,Facere ipsa.,Peixoto,alugado
21360,44485353,4187,Edifício,Sunt.,Araújo,reservado
1847,12732757,2656,Bloco,Ipsum rerum.,da Rosa,reservado
76458,06848975,8466,Casa,Reiciendis.,Lima,disponível
81085,22967971,8171,Apto,Quas.,Rodrigues,reservado
32897,97365601,3266,Casa,Molestiae.,Nascimento de Cardoso,disponível
81007,40331-487,1418,Casa,Tempore.,Leão,alugado
36317,89238-976,2117,Bloco,Ipsa.,Fonseca da Serra,alugado
94743,06723-001,9826,Bloco,Ducimus.,Sampaio de Minas,alugado
55903,55766853,813,Edifício,Minus.,Moreira Alegre,reservado
8694,03584630,7685,Edifício,Nostrum.,Pires das Pedras,alugado
13678,67642440,8409,Bloco,Et.,Albuquerque,alugado
62846,81434634,8030,Apto,Atque alias.,Cirino,reservado
93164,06559135,8245,Apto,Consectetur.,Rios dos Dourados,reservado
67009,58837-461,2968,Casa,Fugiat accusantium.,Albuquerque Grande,disponível
