idcidade,nome,estado
84758,Caldeira,Tocantins
67417,Barbosa Paulista,São Paulo
11847,Rocha da Praia,Santa Catarina
5834,Cirino das Pedras,Pará
48369,Nogueira,Rondônia
77744,Nascimento,Rio Grande do Norte
66049,Albuquerque,Roraima
22783,Sá de Gonçalves,São Paulo
33200,Pacheco de Barbosa,Rio de Janeiro
60646,Mendes,São Paulo
70710,Cavalcanti da Praia,Paraná
4971,Cavalcanti,Goiás
22871,Gomes Verde,Rondônia
64414,Duarte,Amazonas
15916,Rios,Roraima
46667,Ribeiro,Rio de Janeiro
46755,Correia Alegre,Minas Gerais
89732,Fogaça,Amapá
62147,Nunes,Minas Gerais
37529,Novaes do Amparo,Acre
58298,Silveira Alegre,Maranhão
48455,Novaes,Distrito Federal
11039,Camargo,Minas Gerais
78259,Moura de Ferreira,Paraíba
18238,Siqueira,Amapá
79609,Pastor,Distrito Federal
57292,Leão do Sul,Goiás
62037,da Luz,Mato Grosso
42202,Moura do Sul,Paraná
20615,Aparecida,Mato Grosso
66071,Vargas Grande,Ceará
10274,Rocha,Rondônia
54724,Machado,Roraima
99484,Fonseca do Norte,Ceará
48940,Dias dos Dourados,Distrito Federal
87716,Andrade,Rio Grande do Sul
35845,Leão Alegre,Minas Gerais
61530,Ferreira,Distrito Federal
67995,Gomes,Distrito Federal
53607,Moura do Norte,Tocantins
65674,Viana do Amparo,Rio de Janeiro
78465,Farias,Minas Gerais
78445,Fonseca,Goiás
11150,Andrade,Ceará
99885,Fogaça do Campo,Rondônia
12404,Cavalcanti,Rio Grande do Norte
77587,Pimenta,Mato Grosso
26223,Guerra de Pires,Rio Grande do Norte
83685,Fogaça,Espírito Santo
85254,Sá,Distrito Federal
41878,Garcia do Oeste,Minas Gerais
8254,Fonseca,Santa Catarina
14506,Sá,Rio Grande do Sul
65236,Mendonça,Amapá
82536,Peixoto de Siqueira,Roraima
25729,Pereira,Rio Grande do Sul
31068,Carvalho,Pará
71888,Cunha,São Paulo
58351,Mendes de Vieira,Mato Grosso do Sul
5134,Leão do Sul,Roraima
84000,Silveira do Oeste,Pernambuco
21842,Mendonça do Sul,Distrito Federal
51378,Sampaio,Piauí
3529,Pacheco da Serra,Piauí
49299,Albuquerque,Bahia
22638,Novaes do Norte,Rio Grande do Sul
53561,Santos de Azevedo,Bahia
59670,Monteiro de Carvalho,Piauí
45065,Cunha,Roraima
91899,Correia da Serra,Bahia
90577,Sales,Piauí
47111,Andrade de da Conceição,Roraima
96732,Cardoso,Rio Grande do Sul
31534,Jesus,Sergipe
79596,Gomes,Mato Grosso
58647,Monteiro Paulista,Minas Gerais
73544,Abreu de Minas,Rio Grande do Sul
27166,Brito de Castro,Ceará
49325,Campos,Amazonas
53121,da Rocha do Amparo,Acre
2190,Sousa de Goiás,Espírito Santo
54106,Novaes do Galho,Espírito Santo
56583,da Mota Paulista,Pernambuco
99841,Costela,Bahia
16270,Silva de Vasconcelos,Roraima
69875,Lopes de Costa,Amazonas
79364,Santos de Gomes,São Paulo
64704,Silva da Prata,Mato Grosso do Sul
97519,Marques Verde,Distrito Federal
51887,Vargas das Pedras,Maranhão
41113,Pastor da Praia,Minas Gerais
18937,Souza Paulista,Distrito Federal
18492,Pinto das Flores,Distrito Federal
41435,Pereira,Espírito Santo
99468,Ribeiro,Pernambuco
2865,Moreira,Amapá
42108,da Paz das Flores,Ceará
30281,da Cruz de Fogaça,Santa Catarina
27393,Carvalho,Goiás
13492,Caldeira Grande,Pará
5263,Cunha do Amparo,São Paulo
28643,Albuquerque Verde,Roraima
867,Gomes,Mato Grosso
67515,Sousa,Ceará
6985,Garcia de Nogueira,Paraíba
59903,Duarte de Moura,Rio Grande do Sul
18625,Peixoto da Praia,Pernambuco
70918,Moraes,Amapá
93000,Fernandes do Amparo,Distrito Federal
66111,Brito das Flores,Goiás
63667,Nunes,Paraíba
42122,Campos da Serra,Minas Gerais
71677,Oliveira da Praia,Mato Grosso do Sul
81445,Nunes de Garcia,Roraima
13145,Pimenta,Rondônia
88063,Casa Grande,Rio de Janeiro
5900,Lima,Rio Grande do Norte
67586,Freitas do Amparo,Espírito Santo
5999,das Neves,Espírito Santo
29643,Cunha,Alagoas
27743,Cavalcanti de Sampaio,Mato Grosso do Sul
2046,Rocha de Castro,Rio Grande do Norte
47621,Ferreira,Maranhão
79927,Viana do Norte,Paraná
72617,Vasconcelos do Galho,Paraíba
27951,da Cunha,Sergipe
29974,Brito de Câmara,Bahia
21830,Pacheco,Rondônia
93250,Monteiro das Pedras,Paraná
31401,Teixeira,Rio Grande do Norte
96543,Carvalho de Goiás,Paraná
26939,Cassiano,Maranhão
17582,Aragão,Tocantins
42208,Castro,Mato Grosso do Sul
65060,Aragão de da Paz,Alagoas
89892,Siqueira Alegre,Goiás
58876,da Paz,Paraíba
58269,Moraes,Paraíba
51615,das Neves,Amapá
46403,Oliveira das Pedras,Piauí
83049,Siqueira Paulista,Goiás
10767,Brito Paulista,Amazonas
12990,Andrade,Ceará
16222,Moura,Rio Grande do Norte
39581,Rodrigues do Campo,Espírito Santo
99120,Garcia de Minas,Mato Grosso
243,Machado Verde,Mato Grosso do Sul
60953,Costela da Prata,Paraíba
29023,Barros da Serra,Pará
16197,da Mata dos Dourados,São Paulo
19111,Andrade do Campo,Amapá
97587,Moreira,São Paulo
7360,Lima do Campo,Distrito Federal
16017,da Paz,Acre
91385,Ferreira das Pedras,Distrito Federal
71251,Garcia dos Dourados,Ceará
14869,Vieira,Rio Grande do Norte
75239,Rios de Machado,Rio de Janeiro
99379,Cassiano dos Dourados,Maranhão
20966,Pastor,Paraná
14313,da Paz,Pernambuco
4101,Vasconcelos,Maranhão
34157,Marques Verde,Ceará
74337,Lima,Paraíba
63519,Ribeiro do Galho,Piauí
79688,Novaes,Rio Grande do Norte
1829,Rocha,Distrito Federal
4220,Marques do Oeste,Rio Grande do Norte
76065,Montenegro de Campos,São Paulo
22274,Araújo de Gonçalves,Ceará
15821,Barbosa do Sul,Piauí
16783,Pires de Ramos,Pernambuco
85000,Monteiro de Costa,Rio Grande do Norte
30702,Campos da Mata,Distrito Federal
58058,da Rosa da Mata,Goiás
8402,da Mata,Ceará
66475,Mendes,São Paulo
5407,Carvalho,Rondônia
76852,Martins Alegre,Acre
38754,Marques da Mata,Rio Grande do Norte
5142,Carvalho de Minas,Maranhão
48397,Vieira das Pedras,Ceará
53245,Fonseca do Norte,Acre
1256,Teixeira Verde,Amazonas
41310,Dias de Leão,Bahia
92475,Machado,Santa Catarina
48399,Farias,Acre
28160,Cirino,Tocantins
57960,Vargas,Mato Grosso
23967,Pinto dos Dourados,Mato Grosso do Sul
28798,Azevedo de Aragão,Rondônia
71735,Moreira,Piauí
27213,Caldeira Paulista,Acre
56613,Dias da Praia,Maranhão
20534,Campos de Moreira,Rio Grande do Norte
28904,Sá,Paraíba
29733,Barbosa da Mata,Piauí
86541,Lopes Grande,Roraima
70200,da Mota das Flores,Santa Catarina
56091,Montenegro,Bahia
51470,Novais,Ceará
20920,Ferreira,Piauí
48479,da Luz do Galho,Minas Gerais
94117,das Neves,Bahia
80849,Caldeira de da Mata,Pará
90825,Silveira do Amparo,Rio Grande do Sul
99463,Abreu de Garcia,Rio de Janeiro
74073,Cassiano,Amazonas
54343,Freitas,Acre
39260,Jesus,Distrito Federal
83536,Martins,Pernambuco
79028,Sampaio Grande,Ceará
9951,Novais Grande,Acre
70121,Novaes do Galho,Acre
9420,Cavalcanti,Ceará
22767,Borges da Praia,Espírito Santo
96295,Cardoso,Paraíba
62881,Barbosa Paulista,Minas Gerais
77684,Aparecida do Amparo,Tocantins
5265,Mendonça da Praia,Rio de Janeiro
71833,Machado Verde,Bahia
7922,Vasconcelos do Amparo,Rio Grande do Norte
55700,Barros das Flores,Sergipe
49827,da Paz do Sul,São Paulo
54767,Moreira,Tocantins
50665,da Mota dos Dourados,Tocantins
71626,Câmara do Amparo,Distrito Federal
13665,Martins,Amapá
52411,Ribeiro,Pará
94153,Lima,Pará
4362,Costa,Espírito Santo
19236,Caldeira,Pernambuco
92364,Ramos,Rondônia
49467,Cavalcanti da Prata,Paraná
31414,Lima,Distrito Federal
16921,Silva da Praia,Maranhão
25426,Fonseca dos Dourados,Sergipe
14739,Casa Grande,Rio Grande do Sul
18931,Cirino,São Paulo
83322,Nascimento,Amazonas
48453,Gomes Grande,Bahia
47011,Barros do Galho,Minas Gerais
19100,da Mota,Rondônia
44000,Pacheco de Minas,Espírito Santo
90529,Freitas de Minas,Rondônia
74152,Moura de Câmara,Alagoas
53877,Oliveira da Praia,Paraná
65309,Sampaio das Pedras,Mato Grosso
64510,Pastor,Rio Grande do Norte
74869,Silveira da Praia,Mato Grosso do Sul
64596,Peixoto das Flores,Acre
19293,Sá dos Dourados,Tocantins
80746,Cassiano Verde,Maranhão
93633,da Cunha do Sul,Espírito Santo
3604,Fonseca,Rondônia
94117,Correia do Oeste,Rondônia
11286,Aparecida do Galho,Sergipe
18970,Macedo de Duarte,Distrito Federal
35385,Freitas,Espírito Santo
14455,Rios,Amazonas
50943,Caldeira,Paraíba
38686,Aragão dos Dourados,Amapá
30719,Viana,Rio Grande do Sul
76952,Novais Alegre,Minas Gerais
19934,Carvalho das Pedras,Piauí
29820,Cardoso,Rio Grande do Sul
62356,Cassiano do Galho,Mato Grosso do Sul
67329,Almeida,Acre
72494,Barbosa do Amparo,Alagoas
17466,Oliveira,São Paulo
67442,Jesus,Amazonas
71835,Aragão,Sergipe
85211,Souza,Espírito Santo
88765,da Paz,Rio de Janeiro
9998,Pinto,Alagoas
47837,Costela,Bahia
7428,das Neves,Pará
69697,Leão,Pará
34725,Aragão,Amazonas
17023,Freitas do Sul,Alagoas
56057,Almeida,Distrito Federal
84725,Pereira,Alagoas
38688,Marques,Minas Gerais
93904,Pinto,Goiás
11543,Mendes do Campo,Sergipe
4882,Mendonça do Galho,Paraíba
91377,Araújo Grande,Santa Catarina
64116,Mendes,Rio Grande do Norte
88779,Moura,Espírito Santo
33395,Moreira,Distrito Federal
89996,Almeida de Goiás,Roraima
16437,Costa do Oeste,Amazonas
31553,Montenegro,Rio Grande do Sul
89669,Ribeiro,Paraíba
81855,Souza da Prata,Goiás
88078,Sampaio de Minas,Distrito Federal
65842,Vargas Grande,Pernambuco
40243,Câmara Alegre,Rio de Janeiro
56028,Cardoso de das Neves,Goiás
56032,da Mota,Roraima
42825,Castro,Goiás
70785,Siqueira de Pereira,Roraima
70452,Santos,Rio Grande do Sul
5144,Souza de Minas,Piauí
39781,Martins da Praia,Roraima
26096,Nascimento do Norte,São Paulo
92152,Mendes,Acre
7447,Costela,Maranhão
78072,Nunes,Amapá
91353,Almeida de Goiás,Alagoas
16538,Leão,Alagoas
1538,da Mata,Sergipe
34197,Rios,Rio Grande do Sul
72612,Melo,Acre
53737,Carvalho,Espírito Santo
85371,Nunes,Rio Grande do Norte
88570,da Paz da Praia,Piauí
53583,da Conceição da Serra,Bahia
68454,Oliveira Verde,Alagoas
63536,Costa,São Paulo
18798,Oliveira de da Mota,Acre
97038,Dias,Amazonas
7652,Araújo,Rondônia
66007,Teixeira,Rio Grande do Norte
67802,Caldeira,Distrito Federal
74147,Sampaio das Pedras,Piauí
75107,Casa Grande,Amapá
66510,Dias,Ceará
88120,Siqueira Verde,Ceará
99222,Novais de da Rosa,Ceará
12097,Silveira,Rio Grande do Norte
47082,da Rosa de Novaes,Ceará
59461,Cardoso da Mata,Alagoas
52545,Ferreira,Mato Grosso
6504,Abreu de da Cunha,São Paulo
75413,Sales da Prata,Minas Gerais
36022,Gonçalves de Minas,Rio de Janeiro
74746,Moraes,Amapá
85397,Jesus,Tocantins
86983,Moura,Amapá
6462,Santos,Alagoas
72562,Vieira,Mato Grosso
55166,Sá de Fogaça,Minas Gerais
43164,Farias,Mato Grosso
66110,Novais das Flores,Santa Catarina
99782,Viana Alegre,Roraima
95545,Fogaça,Ceará
57580,Camargo Grande,Rio Grande do Norte
12707,Rocha de Goiás,Mato Grosso do Sul
15342,Gonçalves,Roraima
35976,Rocha das Pedras,Ceará
75443,Moura,Amazonas
94076,Nogueira da Serra,Sergipe
615,Novaes da Mata,Alagoas
87323,da Mota da Prata,Roraima
40747,Duarte,Ceará
56361,Duarte da Prata,Rio Grande do Norte
49002,Montenegro,Alagoas
29422,Azevedo,Rio Grande do Norte
39039,Borges,Distrito Federal
94759,Araújo,Paraíba
90142,Sampaio de Rocha,Santa Catarina
80587,da Rosa,Minas Gerais
54050,Teixeira Paulista,Amazonas
22621,Peixoto da Prata,Rio de Janeiro
74243,Sales,Distrito Federal
28883,Costela de Minas,Bahia
19118,das Neves,São Paulo
83176,Machado da Serra,Acre
74278,Azevedo,Goiás
96633,Monteiro,Rondônia
76122,Souza da Prata,Acre
18311,Marques da Serra,Tocantins
25630,Gonçalves das Pedras,Mato Grosso
91786,Azevedo da Serra,Rio de Janeiro
10150,Correia,Pernambuco
27428,Caldeira Grande,Rio Grande do Norte
11811,Vasconcelos de Cunha,Maranhão
66818,Abreu do Oeste,Sergipe
88465,Rezende de Minas,Santa Catarina
80687,Guerra,Maranhão
68825,Viana,Maranhão
59979,Cardoso,Sergipe
38590,Jesus das Flores,Sergipe
63554,Abreu,Santa Catarina
35793,Camargo Paulista,Roraima
62223,Fernandes,Paraíba
77385,Moraes da Mata,Rio de Janeiro
41810,Sá do Sul,Distrito Federal
76774,Câmara,Rondônia
60695,Vargas,Rio de Janeiro
10689,Almeida de Barros,Pernambuco
24660,Araújo,Sergipe
177,Pires,Alagoas
75668,Pacheco dos Dourados,Paraíba
38276,Melo,Tocantins
16476,Sá de Farias,Rondônia
24104,Duarte,Roraima
83710,Moura Verde,Maranhão
62589,Dias,Maranhão
29194,da Luz,Mato Grosso
21778,Pereira,Amapá
53352,Fonseca da Prata,Pará
98406,Pastor de Nogueira,Minas Gerais
96921,Lopes dos Dourados,Mato Grosso
99246,Rezende do Amparo,Tocantins
50772,Alves,Sergipe
73538,Farias das Flores,Espírito Santo
56521,Moraes,Amazonas
49378,Borges,Bahia
44256,Brito Paulista,Amapá
64290,Correia do Norte,Pernambuco
34526,Sá,Roraima
95843,Pacheco,Distrito Federal
10596,Vieira de Goiás,Goiás
18813,Guerra,Alagoas
17888,das Neves,Santa Catarina
75128,Carvalho,Pernambuco
89600,Farias das Flores,Amazonas
93251,Sampaio Verde,Espírito Santo
64670,Siqueira,Sergipe
55628,Mendes Grande,Mato Grosso do Sul
90388,Gomes das Pedras,Pará
74865,Carvalho,Rondônia
84037,Barbosa,Amazonas
79765,Lopes do Campo,Mato Grosso
65661,Machado do Sul,Rio Grande do Norte
94192,Pires,Piauí
89722,Martins,Acre
799,Nogueira do Campo,Distrito Federal
81079,Casa Grande de Melo,Piauí
94102,Dias de da Cruz,Amazonas
69823,Sampaio,Santa Catarina
18,Rocha,São Paulo
72656,Rios da Prata,Pará
63304,Lima,Piauí
56329,Fernandes,Tocantins
33599,Mendes do Galho,Acre
93278,Mendes,Ceará
6903,Silva,Santa Catarina
23774,Siqueira,Rio de Janeiro
83064,Cavalcante,Rio de Janeiro
40916,da Mata de Peixoto,Rio de Janeiro
49186,Cavalcante do Galho,Minas Gerais
15957,Fonseca,Minas Gerais
69121,Lopes dos Dourados,Sergipe
8935,Brito dos Dourados,Tocantins
18062,Albuquerque,Roraima
9128,da Luz,Pernambuco
79338,Novais,Minas Gerais
60522,Silveira,Rio Grande do Norte
14432,Martins da Praia,Espírito Santo
13407,Leão,Goiás
48022,Caldeira,Bahia
19560,Vargas,Minas Gerais
87586,Jesus,Paraná
41763,Castro,Tocantins
11646,Alves de Goiás,Ceará
3061,Andrade,Ceará
65250,Araújo de Minas,Mato Grosso
41200,Moraes de da Cruz,Pará
91204,Camargo de Ribeiro,Amazonas
74403,da Costa,Santa Catarina
31328,Nascimento,Mato Grosso
9229,Lopes,Mato Grosso
72384,Carvalho de Freitas,Alagoas
11703,Novaes,Pará
42068,Rios,Roraima
62200,Pimenta de Castro,Acre
48433,Fogaça da Mata,Espírito Santo
98928,Aragão Grande,Piauí
32219,Rezende,Pernambuco
75538,Rocha de Castro,Bahia
29041,da Cruz Paulista,Bahia
13995,Souza de Silveira,Rio Grande do Sul
74920,Santos Paulista,Espírito Santo
9853,da Cunha,Bahia
19108,Vasconcelos,Minas Gerais
5023,Freitas,São Paulo
9566,Pires,Rondônia
41939,Gonçalves,Maranhão
39778,Viana,Tocantins
99479,Montenegro da Praia,Piauí
89008,Borges,Sergipe
88317,Porto,São Paulo
27347,da Mota das Pedras,Amazonas
56806,Cunha dos Dourados,Espírito Santo
61987,Fernandes,Rondônia
14797,Costela,Mato Grosso
20797,Peixoto da Prata,Distrito Federal
51604,Camargo do Amparo,Rio Grande do Sul
91675,Rodrigues de Marques,Bahia
74346,Borges da Prata,Sergipe
37331,Cunha,Bahia
18627,Teixeira de Melo,Rondônia
11262,Vieira da Serra,Rio Grande do Norte
87089,Gomes,Rio Grande do Sul
12122,Pastor,Pernambuco
54940,Campos,Acre
70955,da Mata da Prata,Santa Catarina
95018,Duarte,Rio de Janeiro
34633,Mendes de Minas,Bahia
17999,da Rosa,Rondônia
78214,Albuquerque do Oeste,Amapá
80763,Fernandes das Pedras,Amazonas
75897,Macedo do Campo,Paraná
13094,Aragão de Abreu,Goiás
16413,Sales de Vasconcelos,Tocantins
94258,Correia,Minas Gerais
57293,Novaes,Espírito Santo
51728,Moraes Verde,Bahia
89026,Albuquerque,Pará
97084,Rezende Paulista,São Paulo
38505,Rocha das Flores,Rio Grande do Norte
46300,Montenegro,Amapá
3288,Costela do Oeste,Acre
99343,Cassiano,Distrito Federal
47442,Nascimento,Mato Grosso do Sul
82947,Montenegro do Galho,Acre
88386,Vieira,Piauí
6196,das Neves da Mata,Tocantins
62602,Rios de Goiás,Mato Grosso
45368,Azevedo de Minas,Rio Grande do Norte
8305,Carvalho,Piauí
18971,Cavalcante da Prata,Amazonas
1610,Sales,Espírito Santo
18408,da Mata Verde,Roraima
98276,Gomes,Santa Catarina
55573,Martins de Campos,Pará
40462,da Mota,Acre
24725,Moura,Acre
982,Leão,Paraná
26842,Sá,Mato Grosso
76491,Abreu,Distrito Federal
77543,da Rosa,Piauí
43332,Nunes de Guerra,Goiás
89130,da Rocha,Rio Grande do Norte
7781,da Rosa,Rondônia
72392,Fonseca,Bahia
62720,Oliveira Grande,Mato Grosso do Sul
2981,Freitas do Galho,Pernambuco
48946,Almeida Paulista,Amazonas
33017,Machado,Paraná
77663,Pinto,Mato Grosso
95614,Andrade,Mato Grosso do Sul
46294,Rocha,Minas Gerais
95133,Pereira de da Conceição,Mato Grosso
37051,Caldeira,Paraná
66943,da Costa,Pernambuco
42102,Freitas do Galho,Amapá
43130,Pimenta do Campo,Amazonas
64869,Brito,Bahia
8288,das Neves Paulista,Rondônia
34669,Brito,Rio de Janeiro
17941,Rocha,Pernambuco
21391,Pastor,Goiás
96558,Pires de Duarte,Santa Catarina
61816,Vieira Paulista,Amapá
79883,Duarte,Paraíba
77627,Rezende,Acre
6890,Lopes,Minas Gerais
63875,Moreira de Goiás,Alagoas
24649,da Cruz,Bahia
71705,Almeida,Pernambuco
57952,Costela,Pernambuco
82540,Silveira,Rondônia
43458,Nunes,Maranhão
7680,Albuquerque das Pedras,Ceará
84477,Cirino,Pará
88749,Almeida Alegre,São Paulo
73400,Rodrigues do Galho,Distrito Federal
61005,Mendes Paulista,Espírito Santo
62994,Martins do Campo,Tocantins
56270,Pacheco,São Paulo
49187,Rodrigues do Sul,Mato Grosso
49260,Moraes da Serra,Roraima
83619,Pimenta do Campo,Paraná
63177,da Rocha de Andrade,Mato Grosso
51582,Lopes,Distrito Federal
58040,Gomes,Pernambuco
97049,Macedo de Albuquerque,Roraima
36713,Santos,Paraná
31468,da Cruz,Mato Grosso do Sul
46667,Rocha,Goiás
76541,Dias,Acre
43777,Costa de Goiás,Rio Grande do Norte
44351,das Neves,Rondônia
52063,Andrade do Sul,Rio de Janeiro
19066,da Luz,Rondônia
4476,Mendonça,Pará
41838,Barbosa,Piauí
37820,Barros,Amapá
5793,Sales,Goiás
5132,Pacheco,Roraima
64574,Garcia,Maranhão
75648,Cassiano do Amparo,Espírito Santo
2689,Moraes,Sergipe
66150,Ferreira do Oeste,Goiás
84168,Peixoto das Pedras,Alagoas
35971,Fogaça das Pedras,Amazonas
31501,Gomes das Flores,Santa Catarina
9891,Viana do Norte,Tocantins
51915,Cavalcante,Bahia
8981,Cirino,Mato Grosso
68258,das Neves,Alagoas
9462,Sá Paulista,Rio Grande do Norte
40307,Leão Paulista,Amapá
65169,Melo de Goiás,Rio de Janeiro
22955,da Conceição da Praia,Amapá
3012,Azevedo Paulista,Goiás
69369,da Cunha,Bahia
10760,Siqueira,Santa Catarina
21357,Barbosa,Distrito Federal
39824,Albuquerque de Goiás,Amapá
19238,Freitas da Mata,Roraima
64074,Alves de Rezende,Mato Grosso do Sul
46223,Montenegro das Flores,Maranhão
74324,da Rosa Paulista,Bahia
42934,Silva,Bahia
72286,Sales da Praia,Pará
54699,Mendes,Amazonas
52724,Pacheco de Cavalcante,Minas Gerais
84322,Gomes,Sergipe
8529,da Paz de Teixeira,Sergipe
34297,Campos,Sergipe
51118,da Costa de Freitas,Paraná
66931,Porto,Amapá
93105,Ribeiro Paulista,Rio Grande do Sul
15825,Guerra da Serra,Paraíba
975,da Rosa,Paraíba
22087,Garcia de Minas,Bahia
85482,Santos de Minas,Pernambuco
68743,Sousa de Minas,Goiás
79315,Fogaça,Distrito Federal
5895,da Cruz,Rio Grande do Sul
25759,Leão,Bahia
16425,Campos,Piauí
53255,Peixoto de Minas,Acre
38688,Andrade do Galho,Rondônia
51934,Silveira dos Dourados,Pará
62117,Pereira,Acre
3603,Monteiro do Norte,Alagoas
70542,Jesus,Espírito Santo
57638,Marques,Amazonas
33861,Lima,Rio Grande do Sul
63436,Alves,Amazonas
32676,Ramos,Sergipe
21488,Lopes,Alagoas
49071,Vasconcelos do Galho,Paraíba
94147,Correia,Acre
82310,Sales Grande,Rio de Janeiro
33572,Costa de Moraes,Rio de Janeiro
52601,Freitas do Galho,Alagoas
54323,Vasconcelos das Pedras,Bahia
35276,Sales,Amapá
47080,Moura,Sergipe
6565,Cardoso dos Dourados,Santa Catarina
32920,Cavalcante da Praia,Amapá
41136,Cavalcante,Mato Grosso
97742,Cirino,Maranhão
70300,Jesus,Rio Grande do Sul
71024,Sá da Serra,Tocantins
26519,da Luz,Rondônia
12068,Viana,Pernambuco
82035,Marques da Praia,Minas Gerais
77064,Siqueira Alegre,Goiás
97332,Ramos de Alves,Acre
41539,Fernandes Verde,São Paulo
81905,Montenegro de Fonseca,Tocantins
20986,Ramos,Acre
50197,Lopes,Maranhão
43511,Rodrigues,Santa Catarina
95733,Guerra Alegre,Rio de Janeiro
89264,Sampaio,Bahia
99695,Correia da Serra,Rio Grande do Sul
47560,Cavalcante,Pernambuco
62963,da Rosa,Mato Grosso do Sul
24351,Vasconcelos,Santa Catarina
99200,Aparecida de Goiás,Amapá
82843,Novais,Rio de Janeiro
75721,Mendonça,Minas Gerais
19777,Sá das Flores,Pará
16398,Lopes,São Paulo
34067,Nunes,Goiás
43331,Costa,Rio de Janeiro
57896,da Luz,Minas Gerais
82662,Vasconcelos de Melo,Rondônia
81892,Almeida de Nascimento,Mato Grosso do Sul
2527,Pastor,Espírito Santo
79074,Vasconcelos de Farias,Goiás
27469,Porto de da Rocha,Rio Grande do Sul
12949,Lima de da Paz,Pará
96085,Rezende,Ceará
30737,Garcia,Distrito Federal
85008,da Cruz,Pernambuco
78477,Pacheco,Alagoas
87304,da Paz de Campos,Rio de Janeiro
36332,Marques,Minas Gerais
98981,da Luz,Maranhão
31889,Cardoso de Correia,Rondônia
99031,Martins,Maranhão
22021,Vasconcelos de Leão,Rio de Janeiro
87883,Caldeira,Rio de Janeiro
37769,das Neves,Paraná
51491,Ramos do Campo,Maranhão
58135,Leão do Norte,Piauí
88089,Fogaça da Praia,Amapá
86373,Rodrigues,Mato Grosso do Sul
38699,da Luz,Tocantins
15224,Carvalho,Rio Grande do Sul
6637,Macedo de Silveira,Rondônia
40233,Mendonça,Tocantins
77261,Cassiano,Distrito Federal
49222,Lima das Flores,São Paulo
77661,Dias de Vieira,Tocantins
90823,Câmara,Amapá
16352,Abreu do Oeste,Santa Catarina
75123,Vargas de Minas,Rondônia
53791,Barbosa,Alagoas
57039,Montenegro,Maranhão
99366,Moreira de Rios,Rio Grande do Norte
47363,Pimenta de Cardoso,Rio Grande do Norte
99233,Costela do Amparo,Pernambuco
50549,Costela do Sul,Rio Grande do Sul
28677,Novaes de Martins,Minas Gerais
18258,Monteiro de da Rocha,Mato Grosso
49088,da Rosa Alegre,Mato Grosso
3413,Silveira Verde,Acre
36891,Vieira,Rondônia
56627,Peixoto de Minas,Bahia
88315,Porto,Alagoas
51123,Siqueira,Acre
45696,Vieira Paulista,Goiás
34785,Ferreira Grande,Minas Gerais
13156,Cardoso do Norte,Piauí
92797,da Rocha,Paraíba
76336,Cavalcanti do Galho,Santa Catarina
84165,Almeida,Mato Grosso do Sul
80327,Vargas do Amparo,Sergipe
11292,Silveira do Sul,Mato Grosso
