idcategoria,nome,descricao,data_criacao,data_atualizacao
36803,reservado,Molestias repudiandae vitae.,2024-01-11,2024-09-05
54094,alugado,Amet magnam non sequi.,2023-09-12,2022-07-09
54943,reservado,Nostrum nisi aliquid.,2024-08-27,2023-05-10
72957,disponível,Aliquam earum placeat.,2022-10-04,2022-05-13
13465,reservado,Eum ad assumenda.,2023-12-28,2022-02-13
10001,reservado,Quasi quos doloribus aperiam.,2024-02-15,2024-10-15
32336,reservado,Officiis sequi ipsam.,2023-04-27,2022-02-01
5684,alugado,Officia labore est officia.,2022-01-03,2024-09-03
88105,alugado,Amet ipsam unde consequuntur.,2023-12-28,2022-07-28
71274,disponível,Ipsum ad minus non ea.,2022-02-18,2022-08-07
89333,reservado,Mollitia labore odio.,2022-01-24,2022-08-22
16858,reservado,Delectus veniam nesciunt ad.,2022-12-27,2022-03-28
21515,disponível,Sit quisquam eaque veritatis.,2023-04-09,2023-04-29
70667,disponível,Ad alias sunt.,2022-11-16,2022-06-25
33622,alugado,Odit ducimus natus.,2023-06-21,2024-03-24
30982,disponível,Nostrum at et vel.,2023-02-15,2023-07-17
20124,alugado,Sequi placeat tenetur.,2022-08-18,2024-01-19
28698,reservado,Hic ex aperiam enim.,2023-10-08,2022-03-12
74850,alugado,Suscipit at corrupti.,2022-02-13,2023-12-14
68313,disponível,Dolores quod sit veritatis.,2023-04-03,2024-08-07
74869,disponível,Mollitia ratione non.,2023-06-01,2024-06-10
84203,disponível,Sint ullam animi eum.,2024-11-22,2023-06-05
32231,disponível,Quidem ab quos aperiam.,2024-02-27,2024-05-03
73843,reservado,Voluptatem voluptatibus at.,2022-08-26,2022-05-02
48829,disponível,Aliquid beatae provident ab.,2024-07-14,2023-01-30
80990,alugado,Neque rerum culpa.,2023-06-21,2024-03-18
35370,reservado,Ratione ipsam excepturi a.,2022-12-12,2024-08-15
50757,alugado,Maiores asperiores excepturi.,2023-12-15,2022-05-19
42264,alugado,Rem ipsum rem veniam itaque.,2023-04-09,2022-08-10
30492,reservado,Deserunt dolorem nobis a.,2021-12-18,2024-10-28
42692,reservado,Porro exercitationem modi.,2023-03-25,2021-12-03
49428,reservado,Non harum repudiandae.,2024-11-15,2022-06-07
25355,reservado,Voluptates earum nesciunt.,2023-05-27,2022-02-25
70075,disponível,Architecto amet officiis.,2024-05-19,2022-11-08
7174,disponível,Architecto nobis expedita.,2023-09-29,2022-05-10
67174,disponível,Amet quae cum.,2023-09-21,2023-02-16
28197,disponível,Itaque natus quod eveniet.,2024-09-10,2023-08-17
37094,disponível,Quam facilis nam at.,2024-11-15,2022-06-06
31347,reservado,Quasi qui facilis quam.,2024-09-06,2023-05-02
30513,reservado,Repellat suscipit maiores.,2023-12-07,2022-12-23
20965,disponível,Saepe magnam maiores.,2022-11-03,2024-05-25
5283,alugado,Fugiat nobis voluptatem iure.,2024-04-16,2022-11-09
211,alugado,Iste voluptas omnis quaerat.,2022-04-09,2022-12-18
94219,disponível,Ducimus accusamus dolores.,2024-11-06,2022-03-16
62040,reservado,Sed laboriosam neque.,2024-11-13,2023-12-20
86502,alugado,Rem doloremque odio.,2024-06-15,2022-03-20
48885,alugado,Est odio qui.,2022-11-06,2022-01-11
31081,disponível,Et dolores alias cum.,2022-07-05,2023-04-18
97078,reservado,Ex fugiat aut illo.,2024-02-01,2022-07-31
47747,alugado,Tenetur ipsa cum fugit.,2024-06-02,2022-08-12
93893,disponível,Distinctio sit corrupti ad.,2023-02-16,2024-03-25
55329,alugado,Harum earum nam impedit.,2024-05-09,2024-05-04
83707,disponível,In fugiat rem repellat.,2021-11-28,2023-11-09
16140,alugado,Repellat iusto accusamus.,2022-01-10,2024-08-17
58039,disponível,Commodi quo nisi aliquam.,2023-02-10,2022-05-07
69916,reservado,Laboriosam velit praesentium.,2022-03-23,2024-03-21
85191,alugado,Architecto doloremque quidem.,2023-06-20,2023-05-03
13731,disponível,Odio eveniet quod minus iure.,2023-08-14,2024-09-06
18494,alugado,Voluptatibus itaque ipsa.,2022-03-28,2022-09-04
43312,disponível,Saepe illo iure fugiat.,2023-07-15,2024-01-26
69341,disponível,Debitis ratione illum autem.,2023-09-10,2022-06-28
84432,reservado,Nihil nesciunt maiores.,2023-11-02,2022-01-26
2079,disponível,Vitae debitis a maxime.,2024-01-15,2024-01-18
6188,reservado,Enim ab ad.,2023-02-24,2024-11-14
85442,alugado,Distinctio nam ducimus.,2024-10-10,2022-06-18
88217,alugado,Iusto a quos maxime.,2024-10-13,2024-09-11
91131,alugado,Velit nihil fuga esse totam.,2022-05-11,2023-11-24
80024,reservado,Minus possimus ut impedit.,2023-03-06,2023-07-19
75459,reservado,Occaecati perspiciatis nisi.,2022-11-20,2022-07-09
62664,reservado,Illo qui dicta ducimus eos.,2023-02-18,2023-07-16
86650,reservado,Inventore ipsam illo autem.,2022-09-24,2022-09-06
22093,alugado,Officiis veniam sit.,2022-11-12,2022-06-11
70234,disponível,Doloremque facere doloribus.,2024-02-12,2024-05-06
28417,reservado,Aperiam mollitia quia.,2022-12-22,2022-05-05
4926,reservado,Dicta quam quod.,2023-10-23,2023-01-08
47892,disponível,Velit dolor commodi sed.,2023-02-01,2022-01-06
54354,reservado,Cum id ipsa.,2024-08-07,2022-06-09
74601,reservado,Animi numquam nam accusamus.,2024-09-10,2024-02-28
97135,disponível,Id possimus quidem ut omnis.,2023-02-21,2023-05-10
51795,disponível,Nisi vero placeat quaerat ea.,2023-01-19,2023-02-22
39586,alugado,Officiis sequi minus nemo.,2023-02-15,2022-02-12
21652,reservado,Tenetur nobis et labore.,2024-02-06,2024-10-13
30609,alugado,Vel inventore error.,2024-01-10,2022-12-16
87485,disponível,Repudiandae quis aut laborum.,2024-07-01,2023-05-09
48817,disponível,Facere laboriosam at.,2023-12-05,2023-04-02
44219,reservado,Iste quisquam praesentium.,2022-07-02,2022-02-25
59879,disponível,Impedit corporis at adipisci.,2022-12-23,2023-02-08
97852,reservado,Eos quidem mollitia.,2022-01-08,2024-05-27
72685,alugado,Incidunt sapiente aperiam et.,2022-10-29,2024-11-08
8726,disponível,Odit rerum excepturi.,2024-01-15,2023-08-15
45989,alugado,Dicta quae officia.,2024-01-20,2023-12-02
98892,alugado,Et ipsa odit consequuntur.,2022-09-06,2024-01-01
54922,reservado,Ad cum vitae quidem.,2024-04-14,2022-09-08
80368,reservado,Harum eum earum praesentium.,2022-05-08,2024-11-20
25527,disponível,Quaerat accusamus aspernatur.,2024-05-15,2022-11-05
37017,disponível,Illum rerum quas voluptates.,2022-11-14,2023-03-28
67536,reservado,Ratione magni excepturi.,2022-04-25,2024-11-19
60476,reservado,Ad dignissimos culpa error.,2024-08-02,2023-01-23
84218,reservado,Sequi ipsa alias.,2022-07-09,2024-08-23
55944,alugado,Aliquid iusto labore error.,2023-01-16,2024-11-01
12808,reservado,Quae cupiditate inventore.,2024-08-07,2022-12-31
688,alugado,Ex fuga est commodi iste.,2024-03-10,2022-03-15
37713,alugado,Iste quis laborum iste.,2023-09-30,2024-10-29
66093,disponível,A vero ipsa repellat.,2024-02-08,2022-06-25
12174,disponível,Ea vitae harum.,2022-06-09,2022-11-17
68598,reservado,Illo repudiandae excepturi.,2022-05-21,2022-01-16
31206,disponível,Rerum ratione error quas.,2024-02-20,2023-07-10
75499,reservado,Aliquam animi at ducimus.,2024-04-01,2022-10-22
27157,alugado,Ea nihil hic in.,2023-10-26,2024-05-20
75060,alugado,Aut omnis placeat aut.,2024-01-10,2024-08-12
50695,disponível,Veniam odit ab quae.,2024-04-02,2022-06-06
53412,alugado,Aliquid excepturi sit quas.,2022-04-26,2023-05-17
25260,reservado,Reprehenderit nostrum alias.,2022-02-25,2024-08-16
67845,disponível,Atque dicta debitis.,2023-03-11,2024-05-15
79042,alugado,Doloribus amet corporis.,2023-06-18,2022-12-06
42299,disponível,Similique commodi magnam.,2022-10-30,2024-01-21
16952,reservado,Labore sint unde delectus.,2023-10-20,2023-01-21
44943,reservado,Porro deserunt quam nemo.,2022-08-29,2023-07-16
39717,disponível,Ipsa doloribus totam beatae.,2023-12-31,2022-01-06
75476,disponível,Ratione accusamus quibusdam.,2023-12-31,2023-08-13
89514,disponível,Ratione beatae suscipit at.,2024-04-06,2022-07-06
14497,disponível,Adipisci ad vel.,2022-02-28,2022-06-13
63157,reservado,Eum nisi omnis ducimus.,2023-09-27,2023-12-16
82559,reservado,Quas suscipit nostrum quo.,2023-04-21,2023-06-19
43182,alugado,Vitae pariatur numquam.,2022-07-08,2022-11-06
18902,alugado,Quod molestias optio illo.,2022-06-29,2022-01-05
6832,disponível,Optio molestias iure nihil.,2024-04-15,2022-01-18
93037,disponível,Magni unde delectus.,2023-08-20,2023-10-04
21385,disponível,Veritatis vitae incidunt.,2023-12-20,2022-01-13
82618,alugado,Omnis veniam eius laborum.,2024-10-25,2023-01-04
46209,disponível,Vitae vitae voluptatum ipsam.,2022-07-13,2024-10-10
6975,alugado,Eligendi et ipsam veniam.,2022-01-11,2022-08-27
86360,disponível,Quaerat cumque dolore.,2023-04-11,2023-07-02
30177,reservado,Distinctio sint nulla nobis.,2022-06-08,2021-12-21
6335,reservado,Omnis cumque tempore.,2022-06-01,2024-09-30
11943,reservado,Quos minima laboriosam qui.,2023-06-06,2024-05-17
79599,alugado,Fugiat aspernatur debitis.,2022-04-12,2023-07-07
8731,disponível,Assumenda rerum debitis.,2021-12-04,2023-01-15
48956,reservado,Velit harum laudantium.,2023-01-06,2023-03-15
56143,reservado,Nulla atque facere quam a.,2022-05-14,2024-02-07
40930,alugado,Omnis voluptatum ab adipisci.,2024-11-15,2022-03-18
74766,reservado,Facere magnam ex dolorem.,2023-03-11,2024-07-08
44317,disponível,Iure earum impedit corporis.,2023-09-23,2024-10-03
71079,alugado,Harum recusandae dolor a ad.,2023-12-10,2022-09-11
61553,alugado,Itaque eius repudiandae.,2024-08-29,2023-09-15
2965,alugado,Occaecati dolor aliquid.,2023-01-10,2022-08-31
96049,disponível,Nulla incidunt repellat nemo.,2024-11-02,2023-06-17
6596,disponível,Occaecati dicta velit beatae.,2023-03-11,2024-06-10
67216,reservado,Omnis vel illo omnis.,2022-07-17,2023-03-19
48251,alugado,Libero recusandae aut.,2022-09-24,2024-03-07
57038,disponível,Ex neque est asperiores.,2024-08-28,2023-06-24
79205,reservado,Fugit ipsa animi consequatur.,2024-04-18,2022-10-27
82315,alugado,Accusamus vel vel pariatur.,2022-03-05,2022-09-19
67452,alugado,Facere cupiditate magnam est.,2024-10-26,2022-06-03
95082,alugado,Quae eum perferendis.,2023-06-02,2022-10-20
9443,alugado,Error recusandae quo.,2023-01-06,2022-04-19
9529,disponível,Sint iste iste iste.,2023-06-02,2023-03-28
1799,alugado,Expedita ea voluptate vitae.,2023-11-29,2023-06-06
40848,alugado,Distinctio ad earum.,2024-05-15,2023-03-04
98373,alugado,Fugit perferendis nisi animi.,2022-11-07,2024-09-04
20017,disponível,Saepe in pariatur rem.,2024-05-21,2023-06-14
75206,alugado,Labore nisi minus commodi.,2022-12-07,2022-05-27
82153,alugado,Magni commodi tempore non.,2023-05-10,2023-11-15
34739,reservado,Debitis perspiciatis aliquam.,2024-10-14,2023-07-06
45307,reservado,Error saepe tenetur deserunt.,2022-07-21,2023-06-05
53832,disponível,Modi consequuntur ad.,2024-02-26,2022-02-25
80306,reservado,Placeat a harum ducimus.,2024-03-30,2023-12-08
91087,disponível,Fugiat vel nihil voluptas.,2022-01-17,2022-09-10
11865,reservado,Inventore libero vero.,2021-12-08,2024-04-20
64203,disponível,Facilis ab odio dignissimos.,2024-04-05,2022-08-19
30636,disponível,Voluptates temporibus est.,2023-11-12,2022-10-08
2509,disponível,Dolorum unde atque culpa.,2024-10-07,2023-01-19
41084,reservado,Qui quasi velit voluptate.,2023-04-16,2022-11-09
32006,reservado,Tenetur quae mollitia.,2022-10-24,2023-05-20
4257,disponível,Tempore repudiandae cumque.,2022-08-19,2023-07-24
47822,reservado,Quia officia nemo animi aut.,2022-11-23,2022-08-18
4217,disponível,Alias aliquam tenetur illo.,2023-11-18,2024-03-05
67022,disponível,Hic quas vel nobis voluptas.,2023-04-05,2022-12-19
31396,reservado,Odio perferendis sint illo.,2024-07-06,2024-10-28
33764,disponível,Ea iste dolorum officia.,2023-08-28,2024-09-16
6643,reservado,Nulla accusamus nisi a rem.,2024-11-10,2023-03-29
10985,reservado,Perferendis sequi nihil iure.,2024-01-10,2022-09-23
56106,alugado,Fuga animi sed nostrum.,2024-08-26,2024-11-22
70579,disponível,Minima quod nam blanditiis.,2024-02-08,2024-01-13
26683,disponível,Recusandae nulla soluta ex.,2022-03-20,2024-08-29
52418,alugado,Ad nulla nobis.,2023-02-02,2022-01-08
85016,disponível,Optio atque amet nostrum.,2022-05-14,2021-12-23
80234,alugado,Repudiandae dolor delectus.,2022-09-02,2022-06-29
12305,alugado,Cumque debitis nulla.,2022-01-02,2023-03-22
82278,disponível,Maxime illo dolor iure.,2022-05-25,2022-08-12
62024,reservado,Quasi libero et culpa.,2022-10-09,2022-03-15
80762,reservado,Esse quia impedit.,2023-08-16,2024-03-10
75145,alugado,Vero delectus exercitationem.,2023-05-16,2022-12-06
99748,alugado,Ipsa ipsam rem ex unde.,2022-09-10,2024-06-30
21800,reservado,Modi molestias quidem quas.,2022-09-07,2023-10-02
48751,disponível,Deleniti eaque ab vero rerum.,2022-10-11,2023-11-25
69077,disponível,Dolorum rem rerum ex dolorum.,2024-06-16,2023-10-22
49567,reservado,Ullam fuga minus repellendus.,2024-10-19,2024-07-04
98409,reservado,Unde sed excepturi possimus.,2023-06-23,2024-05-20
93250,disponível,Amet inventore illo quae rem.,2024-10-25,2024-04-20
39732,reservado,Corrupti unde eligendi error.,2024-08-30,2023-03-15
14901,reservado,Saepe nihil distinctio ea id.,2023-09-27,2022-04-12
90254,reservado,Ipsa mollitia repellat dicta.,2024-08-27,2024-09-10
78205,disponível,Non totam adipisci debitis.,2024-06-20,2023-01-22
97676,alugado,Accusantium numquam quod in.,2022-03-03,2023-01-10
17642,alugado,Voluptas commodi unde sequi.,2023-08-19,2023-12-26
71768,reservado,Aut beatae illo libero quas.,2022-10-13,2022-07-05
62725,disponível,Magni ex in quam non ex.,2023-08-27,2023-10-29
77515,disponível,Earum facere assumenda.,2024-10-15,2022-06-24
24065,alugado,Esse nemo eius veritatis.,2022-11-27,2023-02-01
64811,reservado,Commodi at ex laborum.,2023-10-28,2024-03-14
99103,alugado,Cupiditate temporibus ex.,2023-01-28,2021-12-09
37614,alugado,Nemo ducimus sit nihil.,2022-09-06,2021-12-21
15093,alugado,Nemo minus omnis porro.,2022-11-30,2022-05-11
70977,alugado,Laborum reiciendis dolore.,2021-12-23,2024-10-22
87671,alugado,Soluta recusandae voluptatem.,2022-04-21,2024-04-30
1582,alugado,Quam debitis fuga suscipit.,2023-02-02,2024-10-24
89820,disponível,Saepe earum quidem natus.,2023-11-08,2022-04-14
1636,alugado,Modi sequi dolorum laborum.,2023-10-31,2022-01-26
73889,reservado,Alias atque est vero.,2023-08-29,2023-05-16
75261,alugado,Veniam quia earum magni.,2022-10-09,2023-03-22
44662,disponível,Blanditiis nostrum enim.,2023-11-18,2024-09-28
39559,disponível,Omnis itaque autem.,2023-07-10,2023-11-30
78075,reservado,Omnis tempora mollitia totam.,2023-12-21,2022-07-29
27604,disponível,Debitis amet magnam vel.,2024-04-16,2022-06-15
63719,alugado,A accusamus aut fugiat.,2022-03-10,2024-08-20
89712,alugado,Repudiandae modi et odit.,2023-07-03,2023-11-10
12162,alugado,Cumque quidem in mollitia.,2024-03-25,2022-01-30
