idestado,nome_estado,sigla_estado
64968,Acre,SC
8892,Minas Gerais,GO
23733,Pará,PE
87945,Tocantins,PB
73421,Rio Grande do Sul,CE
67867,Distrito Federal,PB
47551,Santa Catarina,SE
2292,Rio Grande do Sul,DF
25172,Goiás,RS
38373,Mato Grosso do Sul,MG
50229,Alagoas,RS
65665,Goiás,PB
65605,Rio de Janeiro,PI
84983,Maranhão,TO
46030,Amazonas,SE
2116,Tocantins,PA
73520,Maranhão,MT
86421,Amazonas,PA
66042,Amapá,GO
12386,Maranhão,ES
36034,Mato Grosso,MS
88553,Paraná,CE
32197,Santa Catarina,BA
28608,Espírito Santo,RJ
28586,Minas Gerais,GO
41680,São Paulo,CE
92057,Acre,CE
66292,Pará,PE
40077,São Paulo,MA
8970,Sergipe,PA
64185,Minas Gerais,AL
92761,Distrito Federal,SC
99471,Mato Grosso do Sul,DF
63388,Goiás,SC
51059,Pernambuco,SC
83915,Rio de Janeiro,PI
4091,Rio Grande do Norte,RJ
43857,São Paulo,AL
71345,Ceará,SE
43061,Goiás,MT
32045,Santa Catarina,AC
25050,Pará,ES
61936,Espírito Santo,BA
12433,Acre,AL
3117,Ceará,TO
64166,Santa Catarina,RN
63606,Santa Catarina,AP
92054,Rio Grande do Sul,AM
82275,Ceará,RR
61706,Rio Grande do Norte,SC
37964,Santa Catarina,MG
64734,Rondônia,RN
34379,Rio Grande do Sul,DF
47996,Distrito Federal,AC
18990,Minas Gerais,SC
2598,Bahia,RS
14511,Alagoas,RO
9339,Sergipe,AM
45494,Ceará,AC
4552,Minas Gerais,TO
12516,Distrito Federal,PE
57557,Minas Gerais,SP
27734,Pernambuco,GO
10765,Mato Grosso do Sul,TO
61199,Ceará,ES
25947,Maranhão,TO
49223,Piauí,RJ
54659,Alagoas,MS
74277,Roraima,MS
16022,Amapá,PE
74919,Piauí,MS
16046,Ceará,RS
91940,Ceará,RN
39025,Amapá,DF
15438,Acre,MG
24469,Sergipe,PB
13568,Piauí,MG
92381,Rio Grande do Norte,ES
76552,Ceará,PE
35830,Ceará,AC
72658,Amapá,BA
22569,Paraíba,SE
34377,Espírito Santo,RN
97946,Santa Catarina,PE
38750,Goiás,AL
75652,Ceará,SC
4568,Santa Catarina,MG
40851,Piauí,AC
10618,Minas Gerais,RS
555,Amazonas,MA
17946,Alagoas,PI
75709,Distrito Federal,BA
65345,Amapá,SC
96855,Amazonas,AP
68628,Minas Gerais,CE
18011,Tocantins,AC
99467,Maranhão,AL
96171,Pernambuco,TO
30450,Rondônia,RN
47931,Amazonas,RJ
68312,Santa Catarina,RR
15283,Mato Grosso,ES
28327,Mato Grosso,MS
79939,Rio Grande do Norte,PR
64617,Goiás,DF
37531,Espírito Santo,MS
32368,Santa Catarina,TO
4736,Pernambuco,PI
60585,Pernambuco,AM
92004,Goiás,AL
85854,Maranhão,BA
18965,Mato Grosso,PA
77944,Bahia,PR
36747,Minas Gerais,AM
5210,Amapá,RR
97954,Acre,PR
37140,Rio Grande do Norte,RR
36508,Minas Gerais,MS
65527,Maranhão,RJ
32669,Tocantins,AL
80198,Bahia,MT
67898,Rio Grande do Norte,RR
15157,Paraíba,AC
57546,Rio de Janeiro,MT
70669,Amapá,AM
78645,Sergipe,RO
38524,Roraima,MT
53911,Goiás,GO
11123,Rio Grande do Norte,MA
41496,Goiás,AC
84611,Sergipe,PE
64947,Minas Gerais,PR
20287,Acre,PE
32714,Goiás,AC
52042,Acre,AL
38014,Pará,RR
87843,Minas Gerais,PB
57333,Piauí,SE
73783,Rio de Janeiro,TO
25089,Tocantins,PI
25190,Sergipe,MG
25151,Rondônia,PI
51852,Distrito Federal,SE
10395,São Paulo,MA
68647,Ceará,RR
42965,Acre,RS
70962,Amapá,AC
88264,Goiás,TO
40185,Rio de Janeiro,AM
56487,Maranhão,MG
84005,Mato Grosso do Sul,CE
20533,Santa Catarina,MS
37361,Distrito Federal,DF
40362,Roraima,AM
19044,Ceará,MG
91453,Alagoas,RO
28734,Piauí,PE
20767,Rio Grande do Sul,DF
19379,Tocantins,RS
63787,Maranhão,SE
23347,Maranhão,TO
14989,Roraima,PR
19741,Goiás,MG
62168,Sergipe,BA
28736,Acre,MG
46618,São Paulo,MS
65642,Rio Grande do Norte,AC
53334,Alagoas,RN
82512,Goiás,AP
80592,Rio Grande do Norte,AC
52732,Piauí,TO
22284,Tocantins,GO
4104,Ceará,MA
57809,São Paulo,DF
4126,Roraima,RO
28961,Rio Grande do Sul,RJ
43394,Goiás,BA
19679,Mato Grosso do Sul,MA
98224,Rio Grande do Norte,SC
61460,Sergipe,PR
38465,Espírito Santo,AP
23466,Alagoas,MG
9487,São Paulo,AC
37324,Maranhão,AC
98349,Pernambuco,SC
13202,Ceará,MG
6010,Acre,AL
53828,Mato Grosso do Sul,AP
38494,Rio Grande do Norte,RJ
17482,Goiás,MS
92195,Amazonas,PE
77508,Alagoas,RN
51238,Goiás,AM
10290,Santa Catarina,MG
78412,Amapá,MS
31887,Alagoas,AC
34705,Ceará,RO
59737,Amapá,PI
50384,Maranhão,SE
68562,Espírito Santo,MA
9643,Rondônia,GO
44384,Rio Grande do Norte,SP
4119,Goiás,BA
77916,Roraima,PB
61321,Ceará,DF
89385,Sergipe,SC
46159,Amapá,SC
44757,Amapá,MT
60623,Piauí,CE
77439,Distrito Federal,ES
18886,Goiás,DF
70677,Tocantins,MA
86439,Alagoas,PA
51195,Tocantins,MA
19856,Alagoas,PB
69733,Sergipe,BA
21137,Ceará,MT
81281,Rio Grande do Norte,GO
43081,Maranhão,CE
66855,Goiás,AC
88530,Alagoas,SP
30420,Rio de Janeiro,GO
84757,Goiás,AP
3003,Ceará,MT
72330,Pará,MS
87007,Mato Grosso,RJ
96067,Mato Grosso,SE
37453,Santa Catarina,PI
67048,Rio de Janeiro,RO
99317,Acre,RR
7504,Piauí,PR
59335,Ceará,RS
5738,Amapá,PR
1431,Rio Grande do Sul,TO
3894,Ceará,PA
78547,Rio de Janeiro,MA
77514,Alagoas,BA
61887,Amazonas,PB
11564,Mato Grosso,RJ
96166,Mato Grosso do Sul,BA
73060,Mato Grosso do Sul,PR
33285,Santa Catarina,RO
77275,Espírito Santo,MG
67523,Rio de Janeiro,RS
17735,Amapá,RR
49079,Espírito Santo,PR
96375,Minas Gerais,ES
52382,Alagoas,RO
14107,Acre,CE
6383,Mato Grosso do Sul,PE
5737,Rio Grande do Norte,PB
49893,Alagoas,PA
26550,Roraima,PB
13533,Goiás,MT
11030,Rio Grande do Norte,PB
81963,Amazonas,DF
65820,Mato Grosso do Sul,SC
86783,Rondônia,AP
50386,Tocantins,TO
95798,Maranhão,PB
97211,Acre,PB
22588,Pará,DF
21132,São Paulo,ES
99500,São Paulo,BA
34483,Amapá,MG
42917,Tocantins,RS
60105,Rondônia,DF
5210,Mato Grosso do Sul,SE
14737,Espírito Santo,SP
98968,Tocantins,PA
93615,Ceará,RS
7344,São Paulo,PB
59274,Alagoas,MG
41689,Paraná,BA
70168,Rio Grande do Norte,CE
98307,Amapá,MG
30197,Pará,SP
18582,Rondônia,PB
19922,Rondônia,AM
48381,Santa Catarina,RS
62078,Espírito Santo,MG
82336,Minas Gerais,AC
24582,Maranhão,RR
46952,Santa Catarina,CE
74816,Paraíba,SP
13022,Rondônia,CE
72698,Bahia,MA
60070,Goiás,PE
9181,Piauí,TO
54498,Distrito Federal,AC
25742,Tocantins,AM
91751,Paraíba,RR
98307,Rondônia,TO
80160,Pernambuco,TO
74731,Sergipe,RS
99844,Goiás,SP
11029,Bahia,AP
57627,Rio Grande do Norte,PA
67426,São Paulo,SE
26809,Paraná,SC
98321,Mato Grosso,AM
4464,Amazonas,PI
2005,Roraima,AM
13038,Amazonas,SP
96207,Espírito Santo,PI
25058,Pará,AL
39831,Distrito Federal,BA
15135,Tocantins,MA
71791,Pernambuco,RS
78283,Goiás,PA
34745,Amazonas,GO
38357,Maranhão,AC
70387,Distrito Federal,RR
12941,Amapá,MA
83626,Pará,PR
65437,Piauí,PB
64924,Paraná,RN
17868,Minas Gerais,TO
90184,Distrito Federal,SC
97566,Ceará,AP
55659,Mato Grosso,SC
52529,Santa Catarina,AM
24105,Rio de Janeiro,AM
50485,São Paulo,DF
24147,Minas Gerais,MT
4001,Roraima,AC
5629,Maranhão,RN
86232,Paraíba,ES
28695,Alagoas,RO
2417,Paraíba,DF
23733,Bahia,BA
52260,Tocantins,MG
56786,Distrito Federal,RJ
46916,Rondônia,RJ
30971,Distrito Federal,MG
29828,Amazonas,RN
26175,Tocantins,AC
66906,Paraíba,MG
92302,Paraná,PI
59680,Paraná,MA
19063,Mato Grosso,MA
75597,Amazonas,PB
87646,Piauí,AL
59345,Bahia,MT
73018,Alagoas,SP
59506,Tocantins,MG
17962,Paraíba,AM
3256,Rio Grande do Norte,PE
92152,Roraima,RJ
10020,Rio de Janeiro,RO
53923,Bahia,PI
59964,Espírito Santo,RO
5534,Alagoas,SC
93482,Pernambuco,RR
83908,Amazonas,MA
76072,Pernambuco,AP
12438,São Paulo,MS
48873,Santa Catarina,PB
45364,Maranhão,MG
97040,Tocantins,PI
60936,Paraná,RR
47578,Santa Catarina,ES
29646,Goiás,PA
28572,Pernambuco,CE
89513,Distrito Federal,MG
5215,Minas Gerais,RJ
63079,São Paulo,PA
9607,Pará,PR
20783,Pernambuco,RR
4502,Mato Grosso do Sul,RN
62155,Rio de Janeiro,MA
62026,Roraima,MT
75627,Minas Gerais,RJ
80100,Goiás,PB
75254,Pernambuco,TO
37254,Roraima,RO
2104,Ceará,TO
35139,Tocantins,CE
91638,Paraná,CE
11281,Goiás,MA
57737,Rio de Janeiro,PA
16901,Amapá,GO
93845,Paraná,SE
92557,Paraná,RO
80177,Roraima,PR
21258,Distrito Federal,MS
18093,Alagoas,AC
3037,Pará,SC
14269,Paraná,DF
16872,Ceará,PI
88166,Rondônia,DF
39158,Mato Grosso,DF
27685,Paraíba,MA
57658,Rondônia,PI
64511,Espírito Santo,RJ
81557,Bahia,SC
65181,Pará,MT
11152,Santa Catarina,AM
72361,Ceará,RO
86334,Roraima,MG
32397,Paraíba,DF
6528,Sergipe,PR
85234,Amazonas,GO
32902,Rio Grande do Sul,PR
42779,Rio Grande do Sul,AP
1881,Santa Catarina,AC
27723,São Paulo,AC
18917,Minas Gerais,PE
32333,Rio de Janeiro,RR
17390,Santa Catarina,RJ
53677,Piauí,SE
64699,Alagoas,MA
89801,Mato Grosso,AC
70039,Tocantins,SE
22421,Rondônia,SC
10710,Mato Grosso,MT
27505,Acre,RJ
43735,Mato Grosso,PR
43763,Goiás,RN
93402,Rondônia,MT
8952,Minas Gerais,RR
92966,Pará,MG
16634,Bahia,RN
88563,Bahia,RO
21329,Paraná,RS
59390,Goiás,MG
56252,Roraima,RS
71904,Goiás,AL
786,Distrito Federal,RN
46331,Pernambuco,PA
39023,Goiás,RJ
4189,Amazonas,MG
89165,Rio Grande do Sul,RR
65079,Paraná,RN
31039,Roraima,MT
31095,Rio de Janeiro,PE
87155,Bahia,RR
16361,Goiás,ES
65378,Acre,BA
3890,Piauí,MT
11942,Goiás,MS
26499,Maranhão,BA
56759,Minas Gerais,PA
9840,Goiás,ES
8282,Rio Grande do Norte,RJ
99319,Roraima,RO
34882,Rondônia,MG
23144,Bahia,GO
603,Rondônia,AP
11545,Espírito Santo,AP
54360,Sergipe,RO
6923,Espírito Santo,PR
4241,Piauí,TO
78753,Bahia,PR
71207,Pará,RJ
54219,Paraíba,AP
96979,Ceará,GO
85636,Rio Grande do Sul,AM
77915,Goiás,RO
16469,Mato Grosso do Sul,RJ
90367,Amazonas,CE
20661,Paraíba,CE
62280,Rondônia,AL
2384,Distrito Federal,RS
62548,Tocantins,MT
58515,Piauí,RS
6154,Espírito Santo,GO
17949,Roraima,AL
85886,Espírito Santo,RN
63133,Maranhão,RO
31158,Acre,AL
63018,Pernambuco,DF
46909,Santa Catarina,PR
19967,Paraná,RR
79658,Piauí,MA
14851,Roraima,AP
62145,Paraíba,MS
70045,Amazonas,PB
5766,Distrito Federal,PI
98529,Piauí,SP
24755,Santa Catarina,DF
95455,Distrito Federal,RJ
78053,Rio Grande do Sul,RJ
1063,Goiás,SE
68919,Mato Grosso,PA
87447,Pernambuco,PI
39055,São Paulo,GO
89647,Sergipe,CE
1406,Maranhão,MG
95871,Paraná,AP
15037,Amapá,PE
49491,Paraíba,PE
87663,Tocantins,RJ
55681,São Paulo,DF
6157,Amapá,AL
94316,Acre,MS
96859,Mato Grosso,PA
25843,Minas Gerais,RN
20518,Sergipe,SE
92127,Mato Grosso do Sul,AL
14068,Paraná,RS
61209,Pernambuco,RN
84862,Rio Grande do Sul,PE
24264,Pernambuco,RR
37785,Espírito Santo,GO
19315,Bahia,MT
51167,Amazonas,AM
31785,Maranhão,RJ
67458,Mato Grosso do Sul,AL
44218,Amazonas,MA
12635,São Paulo,RO
95213,Minas Gerais,MS
40569,Maranhão,TO
23103,Distrito Federal,SE
8983,Amapá,RS
56463,Minas Gerais,PA
73509,Rio Grande do Norte,PI
44821,Alagoas,ES
9205,Rondônia,RN
82844,Alagoas,MA
24651,Paraíba,GO
88907,Santa Catarina,MA
18806,São Paulo,PI
92706,Amapá,BA
300,Amazonas,MG
60527,Amapá,MT
63488,Maranhão,BA
89792,Espírito Santo,DF
63331,Santa Catarina,RR
79270,Piauí,PA
85733,Amazonas,PB
95972,Paraíba,PB
20567,Mato Grosso,RO
50219,Rondônia,RR
41344,Mato Grosso,MS
57943,Ceará,RJ
29635,Paraíba,SC
92884,Maranhão,BA
30628,Bahia,PI
93057,Rio Grande do Sul,DF
91017,Tocantins,SC
81011,Amazonas,PA
56896,Amapá,SC
48265,Rio de Janeiro,AP
77570,Paraíba,MG
58134,Minas Gerais,PB
98725,Rio de Janeiro,GO
52477,Pará,TO
19201,Tocantins,MG
22211,Mato Grosso,RS
61026,Ceará,AC
41135,Pernambuco,DF
80103,Mato Grosso do Sul,RR
77195,Paraíba,RN
6604,Sergipe,MG
13655,Rio Grande do Sul,PA
47379,Roraima,RR
55819,Paraíba,DF
1482,Ceará,SC
17414,Distrito Federal,PE
51632,Roraima,SC
35954,Alagoas,SC
45499,Distrito Federal,PR
60639,Acre,AC
87661,Amazonas,RJ
54498,Roraima,RR
80325,Tocantins,RN
93950,Mato Grosso,AC
55568,Pernambuco,PE
95658,Mato Grosso do Sul,RS
50712,Ceará,AL
40828,Piauí,SE
15019,Espírito Santo,PB
67114,Amapá,AL
83384,Piauí,SP
99514,Paraíba,RR
93601,Alagoas,MG
18951,Mato Grosso do Sul,RR
92087,Sergipe,MG
77422,Goiás,RR
5037,Amazonas,MA
93621,Rio Grande do Norte,RO
29048,Bahia,PR
76425,Paraná,PI
37544,Maranhão,RJ
15369,São Paulo,BA
20779,Pernambuco,AC
88672,Paraná,RR
62133,Espírito Santo,AM
90674,Maranhão,MA
59790,Mato Grosso do Sul,AL
17608,Sergipe,PE
93816,Rio Grande do Norte,AP
78005,Minas Gerais,PR
81796,Paraná,PR
47383,Santa Catarina,MT
48750,Ceará,MA
10056,Goiás,GO
55131,Mato Grosso do Sul,GO
59468,Minas Gerais,TO
48614,Rio de Janeiro,PE
50431,Tocantins,RS
54353,Pará,AM
31073,Rio Grande do Norte,PB
42592,Pernambuco,CE
58870,Ceará,PB
28574,Pernambuco,RO
24152,Sergipe,AM
20647,Santa Catarina,SP
77783,Distrito Federal,CE
55949,Amapá,AP
1226,Maranhão,MS
29259,Rio de Janeiro,PA
51223,Maranhão,AM
76824,Rondônia,GO
72270,Alagoas,AM
46885,Maranhão,MT
80841,Alagoas,PI
49775,Ceará,TO
74022,Amazonas,PR
31492,Maranhão,PR
12412,Paraná,AC
59947,Distrito Federal,MA
9218,Alagoas,AL
48237,Mato Grosso,SP
70325,Bahia,BA
48410,Alagoas,PB
31479,Acre,MS
74940,Tocantins,MA
67693,Mato Grosso do Sul,GO
5005,Minas Gerais,MA
70109,Rio de Janeiro,RN
10630,Santa Catarina,MG
8799,Rondônia,RJ
86226,Santa Catarina,MT
42055,Roraima,MA
77822,Espírito Santo,TO
90482,Goiás,SP
82059,Goiás,RS
94994,Paraíba,ES
69201,São Paulo,SP
31936,Rondônia,GO
80857,Rondônia,GO
28690,Sergipe,AP
68162,São Paulo,SE
22977,Goiás,AL
69633,Rio Grande do Norte,GO
1008,São Paulo,SC
97352,Espírito Santo,DF
73473,Bahia,RN
28924,Alagoas,DF
77067,Acre,PB
31964,Amapá,ES
94316,Rio Grande do Norte,MT
60726,Rondônia,SP
75330,Rio Grande do Sul,DF
21141,Maranhão,AP
12636,Minas Gerais,RR
22885,Mato Grosso do Sul,RR
46365,Distrito Federal,SE
56323,Alagoas,PA
63522,Paraná,MA
35610,Rio Grande do Norte,AC
43057,Roraima,BA
97113,São Paulo,RR
96235,Mato Grosso do Sul,SE
72490,Distrito Federal,AM
26153,Paraná,RN
65589,Piauí,ES
68757,Rio Grande do Sul,SP
6031,Pernambuco,PI
75761,Maranhão,PE
50815,Rio de Janeiro,AL
52071,Rio Grande do Sul,AP
96099,Rio Grande do Norte,ES
36308,Espírito Santo,MT
94604,Amapá,MG
56039,Paraíba,PA
3593,São Paulo,AP
37207,Piauí,BA
57656,São Paulo,PI
33314,Mato Grosso,RN
7639,Bahia,AM
53624,Amazonas,PE
8333,Rio de Janeiro,PE
4580,Rio de Janeiro,SP
14827,Piauí,AP
60363,Pará,DF
10133,Roraima,RN
56068,Rio Grande do Sul,PE
59593,Mato Grosso do Sul,PA
76297,Amazonas,RN
58309,Maranhão,PR
27852,Acre,AM
64338,Amapá,MS
8423,Tocantins,PA
24206,Rio de Janeiro,PA
69526,Sergipe,GO
1553,Pará,SP
73744,Acre,RS
30165,Paraná,SE
57044,Amapá,BA
37398,Roraima,PA
71923,Maranhão,PB
39642,Amazonas,AP
35903,São Paulo,RN
40161,Distrito Federal,MA
77514,Sergipe,SP
34851,Paraíba,PB
52911,Bahia,AL
32969,Ceará,PE
61061,Paraná,GO
93839,Rio de Janeiro,MA
24805,Mato Grosso,SP
22157,Distrito Federal,SC
32602,Ceará,RR
45115,Rondônia,PI
55958,Roraima,PB
22615,Piauí,RO
40495,Mato Grosso,AL
56220,Roraima,PR
34005,Rio Grande do Sul,RN
69001,Goiás,SE
32648,Pará,GO
45184,Pernambuco,AM
49550,Tocantins,MA
59306,Santa Catarina,DF
99226,São Paulo,RJ
74153,Paraíba,AC
77477,Santa Catarina,TO
38458,Amazonas,DF
51853,Pará,PR
18721,Santa Catarina,RR
7628,Acre,TO
20600,Mato Grosso,RR
69280,Roraima,RN
5174,Pernambuco,AL
19895,Distrito Federal,PR
33919,Alagoas,ES
87596,Pará,SE
82796,Pernambuco,MG
3840,Distrito Federal,RO
21938,São Paulo,RN
44523,Rondônia,SP
17382,Amapá,SC
52979,Maranhão,AL
65863,Distrito Federal,PB
7377,Santa Catarina,ES
58873,Minas Gerais,SC
51393,Espírito Santo,GO
7296,Rio Grande do Sul,PA
57982,Maranhão,RR
74469,Rio Grande do Sul,PA
40452,Acre,RN
27916,Minas Gerais,PI
86845,Piauí,PB
25881,Tocantins,AL
1830,Paraná,GO
94093,Paraná,MA
68393,Espírito Santo,AC
19686,Rondônia,PB
71711,Distrito Federal,MA
53770,Rio Grande do Sul,AL
53374,Alagoas,RS
38202,São Paulo,GO
62300,Paraná,BA
75825,Maranhão,MA
29919,Pernambuco,RN
50725,Rio de Janeiro,MT
37108,Sergipe,SP
16706,Paraíba,SE
12894,Espírito Santo,TO
78782,Minas Gerais,SE
29374,Tocantins,RS
24432,Tocantins,RS
77617,Paraíba,AL
27053,Maranhão,MA
55866,Rondônia,DF
95565,Amazonas,PI
41708,Minas Gerais,AC
68103,Alagoas,AM
5931,Rondônia,GO
66319,Roraima,MT
43646,Mato Grosso do Sul,AC
12669,Acre,PI
16549,Acre,PI
25202,Pará,TO
28042,Tocantins,AL
3257,Pernambuco,SE
87385,Minas Gerais,MS
44201,Bahia,PI
76151,Mato Grosso do Sul,AM
17505,Mato Grosso do Sul,DF
22243,Rio de Janeiro,MS
22280,Espírito Santo,PA
45176,Amazonas,RN
11460,Ceará,AP
38509,Piauí,RS
35510,Tocantins,MG
12735,Rio Grande do Norte,RN
28462,Alagoas,RN
59508,Pernambuco,BA
61597,Tocantins,RO
18595,Sergipe,PE
93075,Tocantins,PE
44341,Paraná,PI
86007,Goiás,AP
70122,Rondônia,TO
44046,Espírito Santo,AL
64355,Sergipe,MT
12174,Acre,TO
77612,Sergipe,RR
7507,Espírito Santo,DF
95216,Ceará,AM
9448,Ceará,PR
49701,Ceará,PR
78751,Rio Grande do Sul,PI
3589,Santa Catarina,PI
85141,Maranhão,TO
55022,Bahia,DF
27301,Acre,AL
66658,Espírito Santo,AC
94637,Minas Gerais,AC
58263,Santa Catarina,AL
67026,Rio Grande do Sul,AM
21961,Amazonas,ES
10729,Rondônia,MS
77586,Alagoas,MS
57827,Rio de Janeiro,GO
70582,São Paulo,AM
43050,Alagoas,SP
95157,Piauí,GO
41632,Rio Grande do Sul,MA
19674,São Paulo,MG
82606,Ceará,SP
8583,Pará,BA
17315,Bahia,SE
72662,Rondônia,SE
74231,Roraima,PB
39015,Ceará,SE
67953,Roraima,MG
6710,Sergipe,SC
1808,Amapá,RJ
78420,Amazonas,PE
98144,Paraíba,MA
48287,Rio de Janeiro,DF
6303,Alagoas,DF
44150,Mato Grosso do Sul,AL
78522,Alagoas,RR
69326,Roraima,AM
54381,Piauí,PE
46787,Rio Grande do Norte,RO
55013,Alagoas,MS
